,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,43.59691840610333,-110.8713296643193,852,True,grte,9,blackandwhite;monochrome;family;astrophotography;grandtetonnp;northamerica;color;storm;national;landscapes;outdoors;tetonrange;bird;trees;flickr;bw;park;white;cloud;road
1,1,1,43.76539118725955,-110.73268091452843,5698,True,grte,1,astrophotography;bluesky;color;storm;spring;flickr;blackandwhite;landscapes;hole;monochrome;bw;cloud;mountainrange;family;peak;flowers;white;panorama;outdoors;tetonrange
2,2,2,43.7035219379592,-110.73786111102038,1225,True,grte,7,storm;monochrome;astrophotography;landscapes;road;bluesky;hdr;cloud;hole;square;squareformat;instagramapp;flickr;forest;bird;color;iphoneography;flowers;blue;spring
3,3,3,43.65632857568401,-110.71569701823758,1645,True,grte,4,astrophotography;bluesky;storm;panorama;spring;outdoors;family;bw;color;road;monochrome;flickr;white;blackandwhite;bird;scenic;hiking;peak;outdoor;flowers
4,4,4,43.663167872902605,-110.66840069546623,2801,True,grte,3,family;flowers;hiking;storm;monochrome;road;bluesky;cloud;forest;white;square;squareformat;instagramapp;landscapes;astrophotography;lake;blackandwhite;iphoneography;flickr;tetoncounty
5,5,5,43.712945474918634,-110.66878037328962,1535,True,grte,5,bluesky;astrophotography;flickr;family;road;flowers;monochrome;blackandwhite;bw;peak;white;cloud;hiking;bird;instagramapp;squareformat;iphoneography;panorama;storm;color
6,6,6,43.98233756050951,-110.66296697292995,628,True,grte,11,astrophotography;bluesky;monochrome;white;spring;flickr;mountainrange;outdoors;landscapes;northamerica;tetonrange;bird;bw;trees;storm;scenic;tetoncounty;hdr;peak;cloud
7,7,7,43.903134341072686,-110.64416991193023,1249,True,grte,6,monochrome;outdoor;astrophotography;bluesky;outdoors;color;hole;flowers;blackandwhite;scenic;bird;road;storm;hdr;cloud;bw;blue;summer;tetonrange;landscapes
8,8,8,43.77398200000024,-110.63288299999914,364,True,grte,13,
9,9,9,43.7538728202824,-110.62403419255487,779,True,grte,10,astrophotography;flowers;lake;bird;outdoors;monochrome;hole;road;cloud;hiking;family;bluesky;wildlife;spring;color;peak;storm;flickr;square;squareformat
10,10,10,43.864023924501154,-110.574705595351,4861,True,grte,2,astrophotography;family;monochrome;storm;hole;bluesky;bw;flickr;flowers;blackandwhite;road;bird;peak;white;landscapes;spring;color;cloud;mountainrange;america
11,11,11,43.84754539953532,-110.57149661788648,861,True,grte,8,peak;road;astrophotography;bluesky;blue;bw;hole;spring;color;white;landscapes;blackandwhite;mountainrange;monochrome;snow;flickr;america;flowers;tetoncounty;wildlife
12,12,12,43.809005788732335,-110.52795631589535,497,True,grte,12,family;bird;flickr;spring;monochrome;peak;bluesky;flowers;astrophotography;storm;hole;bw;white;panorama;square;squareformat;iphoneography;instagramapp;color;hdr
