,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,31.891370441696054,-104.86060124381588,283,True,gumo,1,park;nationalparks;travel;vacation;nps;america;us;usa;trails;national;desert;trail;tx;saltflat;nationalparksystem;highway;canon;sign;square;squareformat
1,1,1,31.90577130252101,-104.84707962184868,119,True,gumo,4,fall;national;landscape;trails;mikaelbehrens;hike;westtexas;cactus;southwest;nationalparksystem;clouds;creek;autumn;pinespring;walk;walking;halle;rocks;dry;np
2,2,2,31.90151936363633,-104.84397294805213,77,True,gumo,8,
3,3,3,31.90172972727269,-104.84120247272742,55,True,gumo,10,unitedstates;nationalparks;vacation;fall;nps;national;culbersoncounty;mountain;trails;trail;southwest;canyon;canon;pine;eos;ef;l;is;usm;voyage
4,4,4,31.89700145714284,-104.83908402857149,35,True,gumo,15,guadalupe;park;nationalpark;hiking;national;desert;hike;tree;highway;peak;sign;nature;overcast;visitorcenter;guadalupepeaktrail;hikingtrail;alex;high;brother;plains
5,5,5,31.90253499999997,-104.83930999999998,46,True,gumo,11,
6,6,6,31.994574838709678,-104.83306735483872,31,True,gumo,16,
7,7,7,31.89589255793995,-104.82688878540763,233,True,gumo,3,park;travel;vacation;national;usa;america;nps;hiking;mountain;culbersoncounty;mikaelbehrens;tree;scenery;tx;pinesprings;view;cactus;outdoor;guadalupenationalpark;autumn
8,8,8,31.89395091599997,-104.82191330399992,250,True,gumo,2,hiking;vacation;travel;america;fall;mountain;hike;mikaelbehrens;guadalupemountainsnp;geotagged;westtexas;trail;cactus;sunrise;tree;southwest;nature;tx;highway;elcapitan
9,9,9,31.89382620967741,-104.81719177419346,62,True,gumo,9,guadalupe;park;us;travel;vacation;fall;hiking;nationalparks;america;national;trails;desert;southwest;canyon;guadalupemountainsnp;saltflat;guadalupenationalpark;west;outdoor;guadalupepeak
10,10,10,31.91810681012657,-104.8063764050633,79,True,gumo,6,guadalupe;hiking;nationalpark;guadalupemountainsnp;nikon;deaftalent;deafoutsidetalent;deafoutdoortalent;nikkor;creek;odonata;damselfly;townsendssolitaire;myadestestownsendi;insects;male;female;springwaterdancer;argiaplana;sagethrasher
11,11,11,31.907330238532104,-104.80136655963301,109,True,gumo,5,landscape;mountain;national;desert;guadalupemountainsnp;westtexas;scenery;view;geotagged;mikaelbehrens;roadtrip;wildlife;flower;dragonfly;trip;gualadupemountainnationalpark;insect;house;home;bronica
12,12,12,31.9104285,-104.79892542857141,28,True,gumo,17,guadalupe;mountains;culbersoncounty;landscape;trail;hike;geotagged;nikon;sky;nikkor;insect;dragonfly;roadtripusa;water;reflection;smithspringtral
13,13,13,31.970844513513512,-104.78798127027031,37,True,gumo,14,
14,14,14,31.98338350000001,-104.78012099999998,42,True,gumo,12,travel;vacation;fall;america;nps;trails;landscape;guadalupemountainsnp;parks;blackandwhite;carlsbadnm;panoramic;hdr;doutone;bw;monochrome;prattcabin;lodge;wallacepratt;sepia
15,15,15,31.984840589743598,-104.77615035897429,39,True,gumo,13,guadalupemountainsnationalpark
16,16,16,31.97842066666667,-104.75362294871792,78,True,gumo,7,culbersoncounty;trails;hike;westtexas;guadalupemountainsnp;trail;southwest;geotagged;tree;tx;nature;cactus;nikon;square;squareformat;iphoneography;instagramapp;trees;visitorcenter;mckittrick
