,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,20.712143546709854,-156.2496399144525,10790,True,hale,1,geotagged;hi;hike;bird;nene;cloud;us;rainbow;canon;tripsvacations;west;panorama;cameraphone;panoramic;road;blue;northamerica;animal;birds;red
1,2,1,20.759616325949352,-156.2461450981012,316,True,hale,5,usa;hi;landscape;mountain;national;crater;us;cloud;canon;clouds;travel;sky;bird;rock;unitedstatesofamerica;blue;cameraphone;sunset;nationalparks;sunrise
2,3,2,20.768831846153823,-156.2430294825174,143,True,hale,10,geotagged;park;national;hike;landscape;canon;haleakalacrater;cloud;hiking;panorama;bird;unitedstatesofamerica;panoramic;rainbow;plant;red;nikon;cameraphone;west;northamerica
3,4,3,20.74170943571429,-156.24097848571432,140,True,hale,11,nationalpark;hi;landscape;park;haleakalanationalpark;geotagged;national;mountain;sky;travel;cloud;haleakalacrater;bird;silversword;panorama;cameraphone;unitedstatesofamerica;road;sunrise;birds
5,6,5,20.736510907703586,-156.23489991715255,1376,True,hale,3,usa;unitedstates;hi;hike;geotagged;us;bird;road;canon;travel;nature;nene;nikon;tripsvacations;trip;red;panorama;panoramic;rainbow;west
8,9,8,20.76805619379845,-156.23723679069758,129,True,hale,12,vacation;nationalpark;hi;clouds;park;national;cloud;red;square;canon;flower;sign;outdoor;beautiful;stars;astrophotography;milkyway;flowers;longexposure;anniversary
10,11,10,20.752065585106372,-156.23023879432603,282,True,hale,8,kula;usa;unitedstates;geotagged;hike;landscape;clouds;us;canon;mountain;sky;cloud;sunrise;road;nene;blue;nikon;panoramic;panorama;rainbow
11,12,11,20.74417218790503,-156.22909614254868,463,True,hale,4,nationalpark;us;canon;haleakalacrater;sky;silversword;nene;mountain;nature;cloud;road;red;sony;alpha;rock;trail;iphone;nationalparks;cameraphone;panorama
13,14,13,20.754827264423085,-156.21532951442316,208,True,hale,9,nationalpark;hi;national;park;landscape;sky;mountain;bird;nene;rock;panorama;lava;panoramic;bluesky;yellow;abovetheclouds;volcanic;red;orange;moon
14,15,14,20.741068369230774,-156.2176813846154,65,True,hale,16,park;national;clouds;us;cloud;canon;sunset;nikon;rainbow;haleakela;night;moon;pacoalfonso;haleakelanationalpark;cloudscape;backpack;wind;wayneibara;jeff;camping
16,17,16,20.707079971428584,-156.21299849999994,70,True,hale,14,usa;panoramic;rain;slidingsandstrail;hale
17,18,17,20.71704687755102,-156.2059168367347,49,True,hale,19,nationalpark;panorama;trail;cindercone;cindercones;lavaflow;lavarock;mauai;haleakalacraterhikeslidingsandstoswitchbacks;wildflower;cinders;pelespaintpot;kamoalii;puuomaui;vent
19,20,19,20.722205666666692,-156.19776786486514,111,True,hale,13,haleakalanationalpark;hi;park;landscape;crater;national;clouds;nationalparks;panoramic;haleakela;cindercone;slidingsandstrail;haleakelanationalpark;hills;sand;backpack;emilydavis;colors;slidingsands;hikemaui
20,21,20,20.706631780000016,-156.18391083999995,50,True,hale,18,volcano;crater;us;island;eastmauivolcano;dormantvolcano
22,23,22,20.713647431972717,-156.1674457210883,294,True,hale,7,silversword;rocks;moon;observatory;helicopter
23,24,23,20.718578058823546,-156.16239958823516,51,True,hale,17,volcano;mountain;summit;hdr;barb
24,25,24,20.720018394736822,-156.1556298947369,38,True,hale,20,
26,27,26,20.71789193939395,-156.14189021212133,66,True,hale,15,nature;animal;goose;hawaiiangoose;louellaibara;jeffreyibara;kaupotrail
27,28,27,20.649680819727852,-156.08304574829938,294,True,hale,6,haleakala;volcano;nationalpark;kula;crater;mountain;landscape;clouds;panorama;haleakalacrater;us;road;nature;sky;trail;plant;west;northamerica;tripsvacations;canon
28,29,28,20.666009707309,-156.04700236279174,3010,True,hale,2,volcano;kula;geotagged;hi;mountain;clouds;cloud;landscape;us;bird;sky;canon;silversword;panorama;hike;sunrise;sunset;red;panoramic;cameraphone
