,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,19.07193396581196,-155.7388353846153,234,True,havo,2,thebigisland;sunset;orange;road;hdr;green;myrtaceae;metrosiderospolymorpha;trees;canon;hawaiitrip;unitedstatesofamerica;car;tree;northamerica;lavaflow;hi;lavafield;rainbow;hugin
1,1,1,19.109458422018353,-155.7174840000003,109,True,havo,4,
2,2,2,19.069211181818172,-155.68380693939397,33,True,havo,5,volcanonationalpark;rock;crater;volcanic;tree;stypheliatameiameiae;epacridaceae;leaf;leaves;cliffs;cliff;volcaniccrater;volcanism;asteraceae;broken;acaciakoa;leafs;quarry;seneciomadagascariensis;macroptiliumatropurpureum
3,3,3,19.423377,-155.61891299999996,16,True,havo,7,
4,4,4,19.487933007575744,-155.5832238257577,132,True,havo,3,lava;volcanoesnationalpark;vacation;helicopter;rainbow;crater;hdr;me;thebigisland;kilauea;instagramapp;square;squareformat;iphoneography;favorites;portfolio;god;puuoovent;nikon;cairn
5,5,5,19.530769,-155.46744850000002,2,True,havo,11,
6,6,6,19.489897,-155.44967799999995,6,True,havo,9,
7,7,7,19.266155666666666,-155.40651333333332,3,True,havo,10,
8,8,8,19.38808617444759,-155.22761469307233,23348,True,havo,1,car;hugin;orange;myrtaceae;me;hawaiitrip;helicopter;black;rainbow;metrosiderospolymorpha;sunset;hdr;lavaflow;panorama;maunaloa;northamerica;tree;green;flow;road
9,9,9,19.203588,-155.37696649999995,2,True,havo,12,
10,10,10,19.29643125,-155.36128775,8,True,havo,8,
11,11,11,19.212726999999987,-155.34877099999997,22,True,havo,6,
