,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,41.52181465384615,-87.45036559615389,104,True,indu,14,indiana;summer;winter;snow;tree;sunset;water;spring;park;midwest;bird;usa;flowers;leaves;photo;sun;photography;chicagoist;wildflowers;forest
1,1,1,41.52405310576923,-87.29203766346151,104,True,indu,13,favorite
2,2,2,41.6067098782608,-87.26863804347832,230,True,indu,9,lakemichigan;summer;trees;snow;scenic;natural;grass;plants;hiking;michigancity;flowers;indianadunenationallakeshore;forest;documentary;painting;gary;autumn;trails;interpreter;costasdillon
3,3,3,41.610091714285716,-87.22249695535702,112,True,indu,12,dunes;summer;unitedstates;gary;us;train;railroad;transit;chicagosouthshoreandsouthbend;trains;railroads;august;csxt;northwestindianalakeshore;locomotive;sou;csxtransportation;garyindiana;nikonphotography;ns
4,4,4,41.62547080138568,-87.20757410392612,433,True,indu,4,nature;tree;in;chicago;sunset;lakeshore;greatlakes;spring;plants;grass;bird;water;portercounty;unitedstates;photo;leaves;sign;national;hiking;me
5,5,5,41.61744447547176,-87.18746994339651,265,True,indu,8,nature;indianadunesnationallakeshore;indianadunes;summer;snow;lake;unitedstates;usa;photography;gary;chicago;in;photo;sign;wildlife;birds;shore;county;may;hammond
6,6,6,41.629639151162856,-87.1857278023255,86,True,indu,17,
7,7,7,41.63122075704226,-87.17830847535231,284,True,indu,7,summer;instagramapp;square;squareformat;iphoneography;unitedstates;snow;indianadunenationallakeshore;winter;in;tree;sunset;chicago;shore;usa;portercounty;gary;sky;nationalparkservice;leisure
8,8,8,41.626563934959314,-87.08940727371254,369,True,indu,6,nature;summer;square;squareformat;iphoneography;instagramapp;tree;snow;midwest;me;plants;trees;flowers;sign;leisure;photo;landscape;forest;leaves;trail
9,9,9,41.66253216981127,-87.06338873584927,742,True,indu,2,nature;tree;nationalpark;jeffmanuszak;nps;indu;katrinageorge;indianadunenationallakeshore;snow;natural;scenic;trees;plants;photography;square;squareformat;instagramapp;in;iphoneography;shore
10,10,10,41.64543240206185,-87.06132947422684,97,True,indu,15,nature;lakemichigan;nationalpark;in;portercounty;beach;sign;michigan;speedyjr;gary;lakeshore;chicagoist;rise;city;michigancity;transportation;street;running;chesterton;passenger
11,11,11,41.65968281818165,-87.04984895959622,198,True,indu,11,lakemichigan;chicago;instagramapp;square;squareformat;iphoneography;beach;greatlakes;chicagoskyline;lakes;tourist;ias;portercountyindiana;hawks;hummingbirds;woodpecker;blackbirds;mourningdove;doves;blackcappedchickadee
12,12,12,41.66916389010986,-87.03956428571428,91,True,indu,16,
13,13,13,41.678744914572796,-87.01448147738684,199,True,indu,10,summer;chicago;squareformat;iphoneography;instagramapp;jeffmanuszak;unitedstates;plants;grass;lakeshore;indu;tree;green;landscape;us;national;scenic;katrinageorge;natural;ice
14,14,14,41.685232470085566,-86.99909570940149,468,True,indu,3,nature;square;squareformat;iphoneography;instagramapp;tree;snow;indianadunenationallakeshore;trees;chicago;plants;gary;shore;usa;portercounty;photography;grass;winter;speedyjr;fence
15,15,15,41.675450180692906,-86.98624167326739,404,True,indu,5,square;squareformat;iphoneography;instagramapp;winter;snow;chicago;tree;beach;water;natural;scenic;lake;trees;gary;michigan;sky;photography;nationalparkservice;grass
16,16,16,41.707053704142055,-86.93688709073014,1014,True,indu,1,nature;squareformat;iphoneography;instagramapp;tree;square;usa;in;chicago;unitedstates;bird;portercounty;indianadunenationallakeshore;snow;sunset;leisure;activities;flowers;us;leaves
