,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,47.91250217543855,-89.15761717982461,228,True,isro,3,irnp;greatlakes;wildlife;sunset;clouds;mi;summer;trees;nationalpark;puremichigan;animal;trail;travel;campground;campsite;chrisarace;aracephotographic;wwwthereasonus;sun;moose
1,1,1,47.89156452380951,-88.99870199999997,42,True,isro,17,greatlakes;moose;wildlife;animal;usa;animals;shelter;building;highfive;cake;sailing;beast;beasts;creature;creatures;mammals;ruminant;ruminants;undomesticatedanimals;zoology
2,2,2,47.969814743243255,-88.97499568918924,74,True,isro,11,
3,3,3,47.995854250000065,-88.90939553731334,268,True,isro,2,
4,4,4,47.985852496969606,-88.80362748484836,165,True,isro,6,nature;greatlakes;lake;sunset;mi;hiking;moose;dock;upperpeninsula;sunrise;boat;nationalparks;raydumas;beach;flower;animal;raymonddumas;bay;keweenaw;ducks
5,5,5,48.110696132352956,-88.68536377941177,68,True,isro,13,
6,6,6,48.02969762500002,-88.64986544230787,104,True,isro,8,sunset;hiking;mi;isle;royale;backpacking;lake;usa;dock;upperpeninsula;michiganup;upnorthmichigan;up;building;voyageurii;harbor;isleroyalecanoeupmilakesuperior;michiganoutdoors;morning;superior
7,7,7,48.08090300000003,-88.64769399999979,164,True,isro,7,sunset;pit;tent;thimbleberry;portrait;self;azure;damselfly;puella;coenagrion;toilet;pt;stuffed;shorts;rabbit;fly
8,8,8,48.063153499999984,-88.6445853478261,46,True,isro,16,sunset;dock;summer;camping;nps;reflection;storm;sun;upnorth;green;landscape;photography;purple;wild;cloud;shore;mysite;mysitenature;colors;lights
9,9,9,48.08979616666661,-88.59045591919184,198,True,isro,4,greatlakes;sunset;water;nature;wildlife;dock;animal;puremichigan;mi;lake;animals;campsite;boat;trees;clouds;woods;hike;trail;raydumas;canoe
10,10,10,48.12687143434349,-88.52436488888891,99,True,isro,10,isle;royale;greatlakes;clouds;travel;hike;campsite;park;trees;puremichigan;stars;forest;isleroyalenp;rockharbor;beach;canoe;canon;map;shelter;trip
11,11,11,48.15058339189199,-88.52283032432442,74,True,isro,12,
12,12,12,48.145702229038925,-88.48544379754635,489,True,isro,1,sunset;greatlakes;wildlife;clouds;irnp;moose;dock;summer;puremichigan;animal;backpacking;campsite;animals;nps;travel;flower;stars;storm;map;canon
13,13,13,48.161654318918885,-88.45765116216215,185,True,isro,5,water;lake;nature;mi;greatlakes;moose;clouds;summer;puremichigan;trees;upperpeninsula;nps;travel;unitedstates;usa;storm;raydumas;lifestyle;editorial;chrisarace
14,14,14,48.18297240776697,-88.43899618446615,103,True,isro,9,
15,15,15,48.18628645283018,-88.43042326415096,53,True,isro,14,
16,16,16,48.22463309433964,-88.3644603962264,53,True,isro,15,
