,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,38.624970033016936,-90.18572269760872,20715,True,jeff,1,illinois;eaststlouis;railroad;train;mississippiriver;eaststlouisil;water;riverfront;fall;malcolmwmartinmemorialpark;foggy;httpwwwnotleyhawkinscom;notleyhawkinsphotography;notley;notleyhawkins;graffiti;trains;il;transportation;casino
1,2,1,38.62038678571428,-90.1891672857143,14,True,jeff,8,
2,3,2,38.62010482352942,-90.18821526470585,34,True,jeff,5,
3,4,3,38.61967232000001,-90.18624331999996,25,True,jeff,6,
4,5,4,38.6230859,-90.1772546,10,True,jeff,9,
5,6,5,38.622615518110344,-90.17554811968512,635,True,jeff,2,railroad;train;fall;water;eaststlouisil;jefferson;fog;locomotive;baseballstadium;buschstadium;cardinals;graffiti;blue;sculpture;nikon;downtown;eerosaarinen;saintlouismissouri;expansion;notley
6,7,6,38.62487877777778,-90.17573577777777,9,True,jeff,10,
7,8,7,38.625385125,-90.175661375,8,True,jeff,11,
8,9,8,38.62771662994332,-90.17503399999954,354,True,jeff,3,train;riverfront;water;eaststlouisil;saint;st;louis;nikon;landmark;stlouisarch;fog;foggy;casino;national;jefferson;expansion;saintlouismissouri;buildings;bridge;cloud
9,10,9,38.62611903896103,-90.17423613852816,231,True,jeff,4,illinois;mississippiriver;water;river;eaststlouisil;casino;rivers;stlouisil
10,11,10,38.62265068749998,-90.17359775,16,True,jeff,7,
