,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,34.093589485596794,-116.2651618930042,243,True,jotr,17,unitedstates;joshua;national;tree;nature;america;us;travel;landscape;blue;sky;clouds;cactus;socal;mountains;geotagged;sunset;twentyninepalms;roadtrip;mojave
1,2,1,34.05041376595743,-116.2065818244679,188,True,jotr,20,joshua;national;travel;blue;clouds;twentyninepalms;sky;geotagged;roadtrip;sunset;mountains;blackandwhite;outdoors;unitedstatesofamerica;mountain;silhouette;iphone;plant;southerncalifornia;photography
3,4,3,34.04040993129782,-116.19746685687014,524,True,jotr,9,america;us;travel;cactus;blue;clouds;sky;nps;socal;rocks;joshuatreenp;roadtrip;mojave;blackandwhite;palmsprings;mountains;sunset;unitedstatesofamerica;spring;hiking
4,5,4,33.92667128333335,-116.1874200143936,1320,True,jotr,5,nature;america;twentyninepalms;blue;cactus;rock;sky;socal;clouds;rocks;blackandwhite;geotagged;roadtrip;night;unitedstatesofamerica;outdoors;spring;stars;hiking;hdr
5,6,5,34.027736112412164,-116.17805398360686,427,True,jotr,10,nature;america;us;blue;clouds;cactus;socal;mountains;nps;square;palmsprings;joshuatreenp;blackandwhite;unitedstatesofamerica;sunset;roadtrip;panorama;spring;riversidecounty;rock
6,7,6,34.01452106766717,-116.16708005209469,3532,True,jotr,1,nature;america;blue;clouds;sky;cactus;socal;mountains;sunset;roadtrip;unitedstatesofamerica;night;blackandwhite;palmsprings;square;outdoors;mountain;rock;stars;mojave
7,8,7,34.095374035483864,-116.15882396129022,620,True,jotr,7,park;nationalpark;unitedstates;nature;america;us;landscape;clouds;blue;twentyninepalms;roadtrip;sky;geotagged;outdoors;blackandwhite;night;unitedstatesofamerica;sunset;spring;socal
8,9,8,33.98936941558439,-116.16320237142851,385,True,jotr,12,nature;america;travel;blue;nps;mountains;sky;twentyninepalms;geotagged;cactus;socal;roadtrip;outdoors;mojave;palmsprings;rock;blackandwhite;night;square;unitedstatesofamerica
9,10,9,33.98365866308242,-116.15188544802851,279,True,jotr,16,nature;national;america;unitedstates;ca;travel;us;landscape;usa;twentyninepalms;blue;clouds;sky;mountains;cactus;geotagged;palmsprings;blackandwhite;unitedstatesofamerica;rock
10,11,10,33.9990808601824,-116.14577545896681,329,True,jotr,14,nature;ca;america;landscape;travel;blue;clouds;sky;geotagged;mountains;roadtrip;sunset;rock;socal;nps;joshuatreenp;blackandwhite;mojave;outdoors;spring
11,12,11,34.02869976072889,-116.14503742504392,1701,True,jotr,3,america;us;travel;blue;clouds;sky;cactus;mountains;square;blackandwhite;night;socal;unitedstatesofamerica;sunset;roadtrip;geotagged;riversidecounty;squareformat;iphoneography;mountain
12,13,12,33.998168079411776,-116.13547588235302,340,True,jotr,13,joshua;america;nature;landscape;travel;sky;blue;cactus;clouds;rock;mountains;roadtrip;square;night;blackandwhite;sunset;mojave;spring;squareformat;socal
13,14,13,33.98635244444439,-116.13463610683763,234,True,jotr,19,park;nature;national;america;travel;us;cactus;clouds;rock;mountains;roadtrip;mojave;unitedstatesofamerica;rocks;palmsprings;spring;panorama;joshuatreenp;mountain;camping
14,15,14,34.10720522108839,-116.10583113945604,294,True,jotr,15,america;clouds;cactus;mountains;roadtrip;mojave;palmsprings;mountain;spring;panorama;jtnp;camping;joshuatreenp;nikon;iphone;nationalparkservice;photostream;road;amerika;hipstamatic
15,16,15,33.99471419837378,-116.06232475569094,2460,True,jotr,2,america;ca;blue;clouds;cactus;mountains;sky;roadtrip;socal;geotagged;palmsprings;blackandwhite;mojave;unitedstatesofamerica;sunset;outdoors;mountain;square;spring;night
16,17,16,34.1285810548523,-116.03818451476788,237,True,jotr,18,park;tree;joshua;national;america;nature;usa;travel;us;blue;sky;clouds;geotagged;socal;mojavedesert;mojave;palmsprings;jtnp;vacation;southerncalifornia
17,18,17,33.984876371307976,-116.0156586308016,948,True,jotr,6,nature;national;america;travel;blue;roadtrip;clouds;mountains;socal;sunset;square;blackandwhite;outdoors;mountain;nps;hdr;jtnp;palmsprings;geotagged;outdoor
18,19,18,33.89580485421974,-115.94919968542132,391,True,jotr,11,nature;ca;nationalpark;america;unitedstates;landscape;travel;usa;twentyninepalms;clouds;blue;sky;socal;roadtrip;sunset;rock;rocks;night;stars;camping
19,20,19,33.924898040504715,-115.92919178552502,1506,True,jotr,4,america;nature;travel;landscape;blue;clouds;sky;rock;rocks;roadtrip;mountains;socal;palmsprings;night;blackandwhite;square;outdoors;mojave;geotagged;hdr
20,21,20,33.735070829431464,-115.80569655685622,598,True,jotr,8,joshua;tree;national;ca;america;travel;cactus;sky;blue;mountains;twentyninepalms;rock;rocks;night;square;blackandwhite;unitedstatesofamerica;squareformat;sunset;outdoor
