,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,58.55415514931678,-155.78446453596123,2920,True,katm,1,mammal;wild;kodiak;bay;animal;bearviewing;scenery;natural;wilderness;katmaibears;haliaeetusleucocephalus;katmainp;mountains;alaskabears;outdoor;maxgoldberg;jeffgoldberg;cub;specanimal;ursus
1,1,1,58.37446533333332,-155.3828729462365,93,True,katm,6,cloudy;mountainside;tonemapped;day;windycreek;confluenceofcreeks;sepia;wildflowers;trailpath;confluence
2,2,2,58.24773447619047,-155.16449352380954,63,True,katm,8,
3,3,3,58.34924435294118,-155.11785570588233,17,True,katm,12,
4,4,4,58.982920312500006,-155.10602212499995,16,True,katm,13,
5,5,5,58.175242599999955,-155.02197185714286,35,True,katm,10,
6,6,6,59.213906179104484,-154.9592536716417,67,True,katm,7,animals;nature;grizzlybear;outdoor;fishing;salmon;statiuniti;morainecreek;crosswindslake;portrait;bath;shampoo;badhairday;model;funny;adventure;adrenaline;humorousbear;greatnature
7,7,7,58.12527293491145,-154.60361874556256,169,True,katm,4,bears;wild;kodiak;feeding;alittlebeauty;action;potofgold;worldbest;geographicharbor;naturesfinest;salmonpicnik;britishcolumbia;egg;alaskancoastalbrownbear
8,8,8,58.20200737037037,-154.48043355555558,27,True,katm,11,
9,9,9,58.313648999999984,-154.25276118518514,243,True,katm,3,katmainationalpark;usa;bay;kodiak;america;scenery;bearviewing;water;mountains;katmaibears;alaskabears;glacier;travel;jeffgoldberg;maxgoldberg;alaskanwildlife;alaskalandscape;alaskan;sea;mountain
10,10,10,58.429227054474715,-154.0742351926071,514,True,katm,2,katmainationalpark;wildlife;bears;wild;mammal;animals;bay;animal;kodiak;nature;water;natural;brownbears;katmaibears;alaskabears;specanimal;glacier;haliaeetusleucocephalus;park;scenery
11,11,11,58.56425647058825,-153.90164319607837,51,True,katm,9,
12,12,12,59.05601919999993,-153.73165459285752,140,True,katm,5,unitedstates;bears;bay;scenery;wild;grizzlybear;natural;animal;glacier;coast;selectivefocus;meadow;claws;peninsula;clouds;color;tundra;mountainpeak;birds;lachs
13,13,13,58.61622436363636,-153.75636781818184,11,True,katm,14,
14,14,14,58.779318181818184,-153.42178481818183,11,True,katm,15,
