,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,59.82190196503493,-150.07328764335668,143,True,kefj,4,ak;sandybay;ogiveglacier;pano;northwesternglacier;commonmurre
1,2,1,59.74356656666667,-149.86535016666667,30,True,kefj,8,
2,3,2,59.84969233333332,-149.85582478947367,57,True,kefj,5,me;nikon;resurrectionbay;instagramapp;square;squareformat;iphoneography;dimitri;boat;sony;southcentralalaska;alaskawildlandadventures;christos;monica;gletscher;zoom;alpha;boattrip;gulfofalaska;blyingsound
3,4,3,59.89886097794119,-149.73813977205887,272,True,kefj,2,unitedstates;ak;kenai;nature;iphone;snowcapped;kenaifjordstours;colorefexpro;bay;fjords;boat;sony;reflection;ice;hardingicefield;square;squareformat;iphoneography;instagramapp;portfolio
4,5,4,60.18261759955076,-149.6547706474552,1336,True,kefj,1,kenaifjords;me;vereinigtestaaten;snowcapped;sony;southcentralalaska;alaskawildlandadventures;amerika;nordamerika;thelastfrontierstate;monica;reflection;iphone;christos;dimitri;squareformat;iphoneography;instagramapp;vacation;colorefexpro
5,6,5,60.10114100000007,-149.7150279999999,42,True,kefj,6,
6,7,6,59.72664334285715,-149.58993297142857,35,True,kefj,7,
7,8,7,60.05091636363636,-149.629514,11,True,kefj,9,
8,9,8,59.918074056179975,-149.54906377528133,178,True,kefj,3,kenaifjords;kenaifjordsnationalpark;kenaipeninsula;nationalpark;vereinigtestaaten;usa;snowcapped;landscape;trees;colorefexpro;boat;vacation;us;cloudsaroundmountains;art;outdoor;photographer;photography;summer;travel
9,10,9,59.77598210000001,-149.5348641,10,True,kefj,10,
