,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,36.74358702815144,-118.96904571942444,3197,True,kica,1,backpacking;trail;landscape;wilderness;outdoor;ca;mountain;hiking;mountains;nature;clouds;hike;adventure;water;sierras;alpine;flower;sierranevadas;lake;sunset
1,1,1,36.71948394554449,-118.89738264356473,202,True,kica,8,kingscanyonnationalpark;sierra;backpacking;wilderness;unitedstates;trail;clouds;mountain;outside;seki;nevada;panorama;sunset;sky;flower;canyon;grass;summer;us;view
2,2,2,37.17149501607718,-118.69804643729923,311,True,kica,7,nationalpark;ca;nature;outdoor;alpine;water;rocks;adventure;mountain;camping;panorama;flower;outdoors;outside;hike;sierras;travel;grass;yosemite;pacificcresttrail
3,3,3,37.11781639306356,-118.68012083429672,519,True,kica,4,usa;ca;nature;nationalpark;trail;mountain;clouds;snow;outdoor;water;rocks;nevada;national;us;seki;outdoors;park;sierranevadas;sky;camping
4,4,4,36.790023144509114,-118.66869762235079,519,True,kica,5,sierra;landscape;ca;backpacking;mountains;mountain;nature;snow;unitedstates;hiking;hike;rocks;water;sunset;seki;outdoors;park;national;sierranevadamountains;trees
5,5,5,36.79004096485621,-118.60073470074522,939,True,kica,3,backpacking;ca;trail;wilderness;outdoor;snow;landscape;adventure;clouds;nevada;johnmuirtrail;sierranevadas;water;sierras;outside;flower;rocks;bw;grass;sun
6,6,6,37.124665999999905,-118.57416699999985,195,True,kica,9,flower;sky;water;reflection;grass;tree;sunset;view;deer;sign;rock;bridge;stream;ice;morning;waterfall;rain;pine;meadow;polygonaceae
7,7,7,37.09443083606571,-118.50287462295084,183,True,kica,10,
8,8,8,37.03328439583332,-118.46135811805547,144,True,kica,12,snow;sierras;sierranevadas;panorama;us;hike;alpine;lake;yosemite;pacificcresttrail;sierrahighroute;geotagged;john;muir;august;jeanstrother;fisheye;iphotooriginal;pass;mark
9,9,9,36.78946402679939,-118.39971714241959,1306,True,kica,2,ca;landscape;mountain;trail;nature;usa;outdoor;rocks;snow;park;national;water;nevada;clouds;hike;alpine;canyon;wilderness;flower;sky
10,10,10,36.93515049655177,-118.41219411724128,145,True,kica,11,ca;nature;snow;park;national;clouds;rocks;alpine;nevada;hike;adventure;geotagged;sierrahighroute;sun;mirrorless;microfourthirds;jeanstrother;flower;pacificcresttrail;pass
11,11,11,36.698459725239616,-118.37155985623005,313,True,kica,6,mountain;rocks;nevada;outdoor;clouds;water;snow;seki;sierras;panorama;sierranevadas;outdoors;alpine;outside;adventure;green;sierrahighroute;sierranevadamountains;lake;bw
