,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,37.20220757142857,-86.23740142857142,14,True,maca,9,
1,1,1,37.22327333333333,-86.22815333333334,12,True,maca,11,
2,2,2,37.20680700000001,-86.19747499999997,14,True,maca,10,
3,3,3,37.20901418181818,-86.17135272727272,11,True,maca,12,
4,4,4,37.186317,-86.169306,17,True,maca,8,
5,5,5,37.16408079166667,-86.15874506249996,48,True,maca,4,tree;hillsideoftrees;rollinghillsides;plant;animal;mountains;mountainsindistance;mountainsoffindistance;limestonecliffs;fern;blue;moss;snail;lookingnne;turnholebend;sinkholearea;turnholebendtrail;aspleniumhybrid;blackstemmedspleenwort;aspleniumresiliens
6,6,6,37.149587065217396,-86.15421354347833,46,True,maca,5,
7,7,7,37.207530391304346,-86.1430995652174,23,True,maca,7,
8,8,8,37.1864243094876,-86.10245888117805,3257,True,maca,1,geotagged;edmonsoncounty;trees;usa;outside;tree;appalachianmountains;appalachianplateaus;centralcumberlandplateau;cumberlandplateau;internationalbiospherereserve;crosseye;camranger;triptotriptogatewaymammothcuyahoganationalparks;talltrees;talltreesallaround;triptogatewaymammothcuyahoganationalparks;travel;lookingne;blackandwhite
9,9,9,37.151244941860455,-86.09927240697678,86,True,maca,3,mammoth;cave;park;national;talltrees;talltreesallaround;nationalparkservice;animals;canvas;freeversepoetry;poemsused;poetryandprose;lookingsw;hikingtrail;naturetrail;trail;spring;bw;sign;nikon
10,10,10,37.167994000000014,-86.07809499999999,27,True,maca,6,animals
11,11,11,37.197788111111116,-86.07373577777778,9,True,maca,13,
12,12,12,37.151081502673826,-86.06011965240656,374,True,maca,2,geotagged;appalachianmountains;appalachianplateaus;centralcumberlandplateau;cumberlandplateau;internationalbiospherereserve;worldheritagesite;landscape;outside;trees;triptogatewaymammothcuyahoganationalparks;travel;nationalparkservice;hikingtrail;naturetrail;trail;green;blackandwhite;bw;animal
