,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,37.26186858333333,-108.54913208333332,12,True,meve,8,
1,2,1,37.19066117788454,-108.53532484935877,624,True,meve,3,nationalparks;cliff;sky;america;tree;rock;landscape;canyon;us;national;nature;nikon;mancos;outdoors;ancestralpuebloans;white;view;abandoned;roadtrip;yellow
2,3,2,37.26636925,-108.519044,8,True,meve,9,
3,4,3,37.30390775000021,-108.43406058580436,1888,True,meve,2,pueblo;anasazi;mesaverdenp;rockart;ruins;southwest;nativeamerican;photo;dwelling;canyon;montezuma;ancient;nature;rock;cliff;cortez;landscape;cliffdwelling;tree;abandoned
4,5,4,37.23850470662458,-108.50424277918005,317,True,meve,5,cliff;cortez;us;america;sky;rock;photo;roadtrip;vacation;orange;white;outdoors;hiking;abandoned;architecture;house;geology;view;nikon;indian
5,6,5,37.258433488024004,-108.49573080538904,334,True,meve,4,nativeamerican;landscape;nationalparks;nature;cliff;rock;tree;photo;montezumacounty;cliffdwelling;dwelling;archeology;indian;us;ancient;cortez;nationalparkservice;orange;unesco;color
6,7,6,37.170876809945476,-108.47800330790257,7340,True,meve,1,nature;canyon;nationalparks;landscape;photo;sky;rockart;rock;montezuma;tree;orange;yellow;white;wildflower;color;flower;hiking;view;abandoned;roadtrip
7,8,7,37.23658262264153,-108.46102281760989,159,True,meve,6,mesaverdenp;ruins;anasazi;pueblo;nativeamerican;nationalparks;archeology;tree;ancient;cliffdwelling;roadtrip;america;flower;yellow;geology;wildflower;hiking;trees;kiva;cloud
8,9,8,37.253257051094884,-108.45556404379545,137,True,meve,7,unitedstates;cliff;canyon;nature;landscape;travel;architecture;day;np;clouds;animal;lizard;hiking;flickr;cloudy;rain;reptile;sprucetreehouse;cliffpalace;wall
9,10,9,37.261619,-108.43814799999998,8,True,meve,10,
