,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,46.94083515286288,-121.86188165591976,1799,True,mora,4,washingtonstate;nationalparks;mt;landscape;park;clouds;tree;flower;volcano;national;sky;bridge;trail;scenery;hike;wildflowers;glacier;fog;rocks;northamerica
1,1,1,46.72903600000019,-121.85691999999918,292,True,mora,15,testkeywordupdate
2,2,2,46.74954896419114,-121.81319456432294,1508,True,mora,6,mountains;nationalparks;washingtonstate;nature;hike;landscape;us;clouds;mt;sky;flower;trees;trail;summer;tree;alpine;scenery;panorama;rocks;park
3,3,3,46.79138728900546,-121.73922555570496,23086,True,mora,1,nationalparks;clouds;tree;flower;sky;trail;mrnp;mt;hike;panorama;rocks;pnw;bridge;northwest;alpine;fog;wildflowers;blackandwhite;northamerica;volcano
4,4,4,46.946276897280995,-121.79128495166206,331,True,mora,14,usa;mountains;nationalpark;nature;nationalparks;washingtonstate;landscape;mtrainiernationalpark;mrnp;ashford;hike;flower;panorama;wilderness;bridge;camping;stream;moss;footbridge;cliff
5,5,5,46.88040984764554,-121.7253313822713,361,True,mora,11,mountains;mountain;usa;mtrainier;rainier;nationalparks;landscape;nature;park;clouds;national;snow;trees;sky;bridge;fog;glacier;blackandwhite;wildflowers;paradise
6,6,6,46.90074633137833,-121.71404767155428,341,True,mora,13,unitedstates;mtrainier;mountains;usa;mtrainiernationalpark;us;nationalparks;mt;clouds;hike;summer;tree;snow;panorama;blackandwhite;rocks;pnw;ashford;northwest;cascades
7,7,7,46.859219610795776,-121.70403507954616,352,True,mora,12,unitedstates;usa;mountrainiernationalpark;washingtonstate;mt;clouds;pacificnorthwest;sky;flower;tree;fall;lake;blackandwhite;northwest;northamerica;mount;paradise;water;sun;wildflowers
8,8,8,46.91499733206129,-121.64729313911577,7598,True,mora,2,us;nationalparks;tree;trees;sky;mt;forest;fall;bridge;flower;volcano;rocks;park;panorama;fog;blackandwhite;water;northamerica;paradise;waterfall
9,9,9,46.963863027227795,-121.67966421782188,404,True,mora,10,usa;mountain;nationalpark;us;landscape;nature;trail;park;clouds;trees;ashford;tree;sky;volcano;mrnp;forest;northamerica;scenery;alpine;blue
10,10,10,46.859080390521214,-121.65425161232235,1055,True,mora,7,mtrainier;landscape;us;nature;park;nationalparks;rainier;clouds;mtrainiernationalpark;mt;washingtonstate;trees;volcano;summer;national;trail;pacificnorthwest;flower;sky;forest
11,11,11,46.76544472947773,-121.63592788059708,536,True,mora,9,us;nationalparks;trail;park;mt;clouds;wildflowers;national;pacificnorthwest;tree;sky;forest;trees;fog;pnw;fall;rocks;blue;camping;volcano
12,12,12,46.75324528921919,-121.55956963976648,1549,True,mora,5,nationalparks;us;mt;ashford;snow;flower;mrnp;sky;wildflowers;trail;blackandwhite;glacier;fog;fall;panorama;alpine;northamerica;rocks;northwest;volcano
13,13,13,46.90852360194157,-121.50825610355992,618,True,mora,8,usa;nature;mt;landscape;clouds;flower;volcano;summer;tree;trees;pnw;wa;fall;pacificnorthwest;blackandwhite;fog;snow;rocks;sun;meadow
14,14,14,46.86739142482796,-121.51418031829935,2328,True,mora,3,nationalparks;washingtonstate;trail;tree;mt;flower;park;forest;volcano;sky;trees;ashford;clouds;hike;glacier;pnw;panorama;bridge;scenery;wildflowers
