,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,48.82154308399377,-121.6087746133125,631,True,noca,2,cascades;wilderness;trees;lake;nature;washingtonstate;nationalforest;panorama;us;forest;usa;trail;snow;pacificnorthwest;travel;boulders;autumn;mtbaker;grass;larch
1,1,1,48.84788324137929,-121.530929775862,58,True,noca,13,mountains;cascades;mtbaker;mtshuksan;picturelake;reflectinglake
2,2,2,48.71106239062498,-121.53850193750004,64,True,noca,11,
3,3,3,48.9120485652174,-121.45502173913046,46,True,noca,16,landscape;nature;climbing;travel;cascaderange;portfolio;autumn;friends;walking;noflash;september;northamerica;locations;locale;activityaction;naturallocale;lookout;climbers;facebook;whatcomcounty
4,4,4,48.84677015637871,-121.35369475308613,243,True,noca,4,landscape;cascades;glacier;trees;climbing;cascademountains;cascaderange;travel;mountainclimbing;lake;rocks;alpine;portfolio;sunset;activityaction;granite;green;locale;locations;naturallocale
5,5,5,48.94938667948724,-121.358506397436,78,True,noca,10,
6,6,6,48.685043774193545,-121.32497787096777,62,True,noca,12,snow;flowers;aerial;plants;newhalem;bokeh;macro;marblemount;castilleja;aerialphotography;cascademountain;longbachnguyen;mushroom;plant;nationalparkthorntonlakes
7,7,7,48.965668055555575,-121.27336023809521,126,True,noca,5,glacier;panorama;sunset;video;stars;clear;canada;jackmountain;star;nightsky;startrails;day;mountprophet;redoubtglacier;flyingbuttress;mtredoubt;mtrahm;moxpeaks;mountcuster;mtspickard
8,8,8,48.49652520060789,-121.19884624316099,329,True,noca,3,glacier;climbing;trees;wilderness;panorama;washingtonstate;travel;forest;cascaderange;pacificnorthwest;cascademountains;alpine;valley;backpacking;video;tree;water;national;sunrise;blue
9,9,9,48.646764599999905,-121.14005053043483,115,True,noca,7,landscape;washington;glacier;mountain;snow;panorama;usa;ice;rock;white;aerial;green;video;topo;topomap;topotrack;googlemaps;googleearth;mtredoubt;grey
10,10,10,48.48839149572244,-121.06434570328524,2221,True,noca,1,lake;panorama;washingtonstate;cascaderange;wilderness;sunrise;nationalforest;water;climbing;sunset;wildflowers;blue;us;rock;video;tree;portfolio;rockport;nikon;autumn
11,11,11,48.745259399999995,-121.1303655272727,55,True,noca,14,
12,12,12,48.486720423076925,-120.9084670961538,52,True,noca,15,sunrise;mountformidable;mountlogan;bookermountain;magicmountain;hurryuppeak;klawattipeak;eldoradopeak;sahalepeak;martinpeak;bonanzapeak;parkcreekpass;goodemtn;inkwell
13,13,13,48.570580842975176,-120.84924311570248,121,True,noca,6,panorama;me;ryan;rocks;cliff;raggedridge;autostitch;panoramic;awesomenature;kitlingpeak;mesahchiepeak;rockface;littletack;holliwaymountain;goldenhorn;mounthardy;graybeardpeak;mountarriva
14,14,14,48.38682721176471,-120.84479496470587,85,True,noca,9,cascades;hiking;cascademountains;travel;pacificnorthwest;clouds;trail;forest;nikon;flowers;nationalparkservice;national;wa;pnw;park;blue;outdoors;north;eccezionale;ptarmigancrest
15,15,15,48.52298452173914,-120.81691539130439,46,True,noca,17,mountains;landscape;nationalpark;trees;wa;alpine;valley;nikon;outdoors;peak;september;mtgoode;easypass;mtlogan;glaciers;nw;mountgoode;goode
16,16,16,48.50211943877553,-120.77036226530613,98,True,noca,8,lake;trees;cascademountains;forest;us;alpine;clouds;valley;boulders;pnw;outdoor;nationalparkservice;wildflowers;national;water;sky;mist;hike;north;tree
