,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,-14.270464999999998,-170.71563,5,True,npsa,6,
1,2,1,-14.276620400000002,-170.71309379999997,5,True,npsa,7,
2,3,2,-14.265506,-170.70453600000005,2,True,npsa,9,
3,4,3,-14.26428279069768,-170.68896351162778,43,True,npsa,2,
4,5,4,-14.257925,-170.68027800000004,2,True,npsa,10,
5,6,5,-14.2445655,-170.678224,4,True,npsa,8,
6,7,6,-14.240829499999995,-170.67122133333336,60,True,npsa,1,nationalpark;meeting;pic;nationalparkofamericansamoa;southpacific;polaisland;flickr;camera;usa;slr;film;paradise;kodak;south;american;tropical;ft;photographed;petri;tropics
7,8,7,-14.248702709677419,-170.66237880645158,31,True,npsa,3,
8,9,8,-14.252804714285714,-170.65617314285714,7,True,npsa,5,
9,10,9,-14.266784818181815,-170.65558772727275,11,True,npsa,4,
