,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,48.14780790845057,-124.70857140543251,994,True,olym,8,nationalpark;wilderness;sky;creek;snow;backpacking;rocks;lake;tent;clouds;fog;olympics;pnw;olympicmountains;washingtonstate;hike;travel;trees;green;deer
1,1,1,48.25765794818656,-124.6894885785838,579,True,olym,9,nationalpark;sky;deer;forest;fog;tent;clouds;blackandwhite;green;tree;travel;northwest;trail;pnw;rocks;wa;landscape;trees;us;washingtonstate
2,2,2,47.91363412299624,-124.63107808638429,4179,True,olym,6,hiking;wilderness;creek;mountains;backpacking;sky;sign;deer;lake;tent;waterfall;forest;olympics;geotagged;mountain;fog;panoramic;hike;olympicmountains;trail
3,3,3,47.66730991054772,-124.39824103406431,6987,True,olym,3,hiking;wilderness;creek;mountains;sky;waterfall;snow;tent;sign;lake;olympics;olympicmountains;panoramic;geotagged;mountain;forest;trail;hike;clouds;fog
4,4,4,47.86154357073266,-123.92796424767964,4312,True,olym,5,wilderness;sky;mountains;creek;deer;lake;rocks;tent;geotagged;clouds;sign;olympics;fog;waterfall;blackandwhite;panoramic;hike;northwest;pacific;mountain
5,5,5,47.9484162031689,-123.82476273998158,2146,True,olym,7,sky;creek;geotagged;tent;clouds;fog;snow;mountains;rocks;deer;sign;olympics;blackandwhite;northwest;hike;olympicmountains;tree;pacific;panoramic;sunset
6,6,6,48.062268583931406,-123.81016917596628,4319,True,olym,4,hiking;wilderness;creek;sky;tent;sign;snow;deer;rocks;mountains;fog;geotagged;clouds;olympics;panoramic;blackandwhite;hike;trail;pacific;flowers
7,7,7,47.83689463099636,-123.68971787822912,271,True,olym,15,olympicpeninsula;clouds;waterfall;forest;creek;tent;snow;sign;sky;lake;travel;panoramic;longexposure;flowers;wildflowers;fire;video;backpack;moonlight;shadows
8,8,8,47.99983815047523,-123.59773583485479,10294,True,olym,1,hiking;wilderness;sky;mountains;backpacking;fog;clouds;sign;geotagged;rocks;creek;deer;olympics;snow;lake;pnw;travel;pacific;tree;blackandwhite
9,9,9,47.98585569892788,-123.48710250616158,8762,True,olym,2,hiking;wilderness;creek;backpacking;sky;tent;waterfall;rocks;lake;fog;sign;geotagged;panoramic;blackandwhite;green;clouds;pacific;northwest;pnw;bridge
10,10,10,47.660955518518435,-123.40463470940209,351,True,olym,12,olympic;sky;mountains;creek;rocks;sign;deer;forest;landscape;olympics;olympicpeninsula;clouds;fog;tent;blackandwhite;green;panoramic;us;trail;hike
11,11,11,47.90946864915973,-123.36560605042006,476,True,olym,11,nationalpark;usa;wilderness;sky;forest;fog;clouds;rocks;olympicpeninsula;landscape;lake;deer;snow;green;panoramic;pacific;trees;pnw;tree;trail
12,12,12,47.5244845679513,-123.34074998782962,493,True,olym,10,mountains;sky;olympicpeninsula;rocks;snow;geotagged;waterfall;blackandwhite;green;pacific;mountain;travel;lake;sign;fog;olympicmountains;hike;olympics;northwest;bw
13,13,13,47.79614785589513,-123.34638568558985,229,True,olym,16,sky;creek;rocks;waterfall;clouds;pacific;northwest;trail;tent;sign;sunset;bridge;river;ridge;panoramic;mountolympus;log;backpack;cliff;shadows
14,14,14,47.56320481850536,-123.33781521708178,281,True,olym,14,tent;olympic;waterfall;deer;sign;flowers;panoramic;sunrise;moon;scanned;eagle;cascades;climb;washout;kodachrome;amphibians;fin;sawtooth;donahuecreek;donahuecreekfalls
15,15,15,47.82398222259141,-123.21913108970085,301,True,olym,13,creek;sign;tent;deer;blackandwhite;waterfall;panoramic;bw;fog;olympicnationalforest;flowers;wildflowers;rock;stream;meadow;reflection;marmot;reihalfdomeplus;fireweed;tlr
