,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,34.81493675880195,-109.86505207829704,1903,True,pefo,1,america;hdr;road;rocks;apachecounty;badlands;unitedstatesofamerica;geotagged;nationalparkservice;travel;us;northamerica;route;outdoor;trip;iphoneography;rock;roadtrip;painted;canon
1,1,1,34.888324885196326,-109.80723538066471,331,True,pefo,12,nature;america;rocks;road;travel;route;geotagged;nationalparkservice;rock;hdr;northamerica;vacation;apachecounty;holbrook;trip;iphoneography;outdoor;badlands;southwest;photo
2,2,2,35.05126294211579,-109.80529171856298,501,True,pefo,6,nature;america;national;park;forest;az;petrified;geotagged;northamerica;unitedstatesofamerica;travel;apachecounty;hdr;holbrook;nationalparkservice;rocks;road;us;vacation;badlands
3,3,3,35.081359792682925,-109.80159614329284,328,True,pefo,13,nature;landscape;forest;america;national;petrified;park;rocks;route;rock;nationalparkservice;hdr;apachecounty;geotagged;nps;travel;outdoor;road;roadtrip;autumn
4,4,4,35.08966801219517,-109.80120928048754,246,True,pefo,16,rock;quartz;wall;pawprints;frost;tent;lodge;tumbleweed;sunrise
5,5,5,34.961906525745256,-109.79865000271008,369,True,pefo,7,northamerica;nationalparkservice;hdr;unitedstatesofamerica;route;geotagged;road;apachecounty;travel;badlands;iphoneography;rocks;nps;outdoor;holbrook;painted;trip;squareformat;autumn;photo
6,6,6,35.06828428901734,-109.79583100289007,346,True,pefo,10,nature;forest;america;petrified;national;park;hdr;route;unitedstatesofamerica;nationalparkservice;road;apachecounty;geotagged;travel;rocks;rock;holbrook;nps;trip;badlands
7,7,7,34.89279438040346,-109.79432616138315,347,True,pefo,9,nature;national;america;forest;hdr;unitedstatesofamerica;northamerica;rock;nationalparkservice;travel;rocks;apachecounty;painted;vacation;roadtrip;badlands;geotagged;outdoor;fall;autumn
8,8,8,34.9750443519737,-109.79378510032907,608,True,pefo,5,landscape;nature;park;national;america;az;hdr;rocks;badlands;geotagged;road;route;rock;nationalparkservice;northamerica;vacation;outdoor;apachecounty;painted;trip
9,9,9,34.864806137767374,-109.79035494061777,1684,True,pefo,2,nature;america;national;road;route;hdr;rocks;badlands;unitedstatesofamerica;nationalparkservice;apachecounty;holbrook;travel;geotagged;painted;iphoneography;northamerica;rock;outdoor;trip
10,10,10,35.082317779780695,-109.7866126065833,1276,True,pefo,3,america;rock;rocks;unitedstatesofamerica;northamerica;geotagged;hdr;route;nationalparkservice;vacation;apachecounty;road;badlands;outdoor;places;trip;panorama;thepainteddesert;wood;canon
11,11,11,34.90519291366911,-109.78670983453242,139,True,pefo,17,painteddesert;nature;desert;az;trip;chambers;highway;amaro;tourist;journey;mayfair;lofi;florestapetrificada;nycandgc;sierra;xproii;thetepees;lookout;lincoln;rise
12,12,12,35.06585983898304,-109.78178097457628,354,True,pefo,8,national;forest;america;park;az;northamerica;route;hdr;rock;vacation;geotagged;road;roadtrip;travel;nationalparkservice;rocks;trip;southwest;painted;petrifiedwood
13,13,13,35.07215062222226,-109.78014959259266,270,True,pefo,15,landscape;nature;forest;america;national;petrified;travel;nationalparkservice;rocks;rock;holbrook;hdr;road;route;nps;unitedstatesofamerica;vacation;geotagged;badlands;roadtrip
14,14,14,34.94495426900581,-109.77621613450272,342,True,pefo,11,northamerica;nationalparkservice;hdr;nps;us;unitedstatesofamerica;geotagged;iphoneography;rock;rocks;apachecounty;holbrook;outdoor;autumn;fall;panorama;photo;trip;painted;petrifiedwood
15,15,15,34.93842563461519,-109.75815768910242,1248,True,pefo,4,america;hdr;unitedstatesofamerica;road;geotagged;apachecounty;nationalparkservice;rock;travel;trip;northamerica;route;rocks;holbrook;painted;iphoneography;photo;outdoor;fall;autumn
16,16,16,34.93323026760564,-109.75541471830992,284,True,pefo,14,national;america;park;az;rocks;nationalparkservice;hdr;route;northamerica;travel;geotagged;unitedstatesofamerica;road;us;badlands;apachecounty;painted;rock;nps;vacation
