,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,36.491660479245404,-121.20930645282992,265,True,pinn,4,unitedstates;rock;paicines;usa;trail;nature;pinnaclesnationalmonument;hike;monument;ca;nationalpark;sky;condor;landscape;pinnaclesnationalpark;sanbenitocounty;blue;mountain;nps;geology
1,1,1,36.48586093048129,-121.20623879679121,187,True,pinn,7,california;park;national;geology;camping;landscape;mountains;lake;lowlight;lakebed;mojave;minerals;tufa;night;evening;soundchaser;desert;socal;deathvalley;wildrose
2,2,2,36.4952819872611,-121.20513087261152,157,True,pinn,8,park;national;nature;rock;nationalpark;unitedstates;sky;mountain;blue;trail;monument;condor;nationalparks;america;np;geotagged;outdoors;moss;us;montereycounty
3,3,3,36.49945377391303,-121.20166653043484,115,True,pinn,11,park;usa;paicines;camping;mountain;nps;nationalmonument;soledad;geology;mountains;flower;tree;america;geotagged;light;shadows;photography;wildflower;outdoor;usnationalparks
4,4,4,36.481369730158725,-121.19924952380948,63,True,pinn,14,nationalpark;landscape;sky;nps;blue;photostream;tree;stone;outdoors;trees;moss;bw;blackandwhite;pinnaclesnps;light;flowers;shadows;sanfrancisco;spring;condors
5,5,5,36.485576768844226,-121.1982082311558,199,True,pinn,6,rock;hike;nationalmonument;sanbenitocounty;camping;sky;geology;blue;ca;usa;condor;soledad;bird;tree;travel;moss;climbing;np;nationalparks;photostream
6,6,6,36.48343072222221,-121.19789577777777,54,True,pinn,16,park;nationalpark;ca;hike;nature;camping;condor;monument;sanbenitocounty;geology;landscape;mountain;america;travel;us;tree;northamerica;centralcalifornia;macheteridge;clouds
7,7,7,36.4898209139073,-121.1970059668874,151,True,pinn,9,ca;usa;sky;nationalmonument;mountain;soledad;stone;photostream;travel;us;sanandreasfault;photography;flowers;trees;boulders;lichen;usnationalpark;sign;sanfrancisco;square
8,8,8,36.480716588737,-121.19358841126301,586,True,pinn,3,pinnacles;landscape;blue;condor;mountain;cave;flower;moss;green;cliff;reservoir;spring;pinnacle;canyon;lake;cloud;waterfall;fungus;plantaginaceae;water
9,9,9,36.485340202898534,-121.19260663768118,69,True,pinn,13,paicines;nature;condor;sky;soledad;bird;nationalparks;flower;findyourpark;outdoors;stairs;trees;wildflower;pinnaclesnps;beargulch;me;usnationalpark;nationalparksystem;gulch;condorgulchtrail
10,10,10,36.47357784866132,-121.18697455762523,859,True,pinn,2,park;rock;condor;soledad;mountain;blue;sky;hike;sanbenitocounty;ca;landscape;bird;flower;tree;geotagged;travel;mountains;stone;us;photostream
11,11,11,36.47665050457066,-121.18587562705895,1094,True,pinn,1,park;nature;national;hiking;trail;sky;ca;monument;soledad;sanbenitocounty;blue;nps;nationalparks;rocks;stone;photostream;climbing;trees;moss;me
12,12,12,36.47845655263157,-121.18391344736841,76,True,pinn,12,rock;usa;hike;camping;condor;photostream;nationalparks;mountains;travel;cliff;hollister;trip;condors;highpeakstrail;landscapes;rhyolites;parks;volcanicrocks;igneous;places
13,13,13,36.4811752766991,-121.1814917135925,206,True,pinn,5,park;nature;rock;sky;hike;blue;condor;monument;nps;nationalparks;america;sanbenitocounty;geology;nationalmonument;photostream;flower;stairs;findyourpark;us;pinnaclesnp
14,14,14,36.48622799999999,-121.18029300000008,54,True,pinn,17,
15,15,15,36.49354300000003,-121.17221100000003,60,True,pinn,15,wow
16,16,16,36.492611085271314,-121.147152333333,129,True,pinn,10,
