,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,41.70648656701031,-124.14378022680424,97,True,redw,18,landscape;redwood;nationalpark;water;nps;flower;nationalparks;redwoodsnationalpark;bird;worldheritagesite;canon;red;snail;blackoystercatcher;mollusk;gull;seagull;dew;redrockcrab;acornbarnacle
1,1,1,41.81255816568049,-124.10795001775118,338,True,redw,7,landscape;us;park;coast;nationalpark;ocean;northerncalifornia;water;national;nikon;nps;sky;nature;beach;sunset;flower;family;nationalparks;tree;northern
2,2,2,41.59895379054058,-124.10093482837864,740,True,redw,4,landscape;redwoodnationalpark;us;redwood;nationalpark;nps;tree;america;trees;orick;nikon;nationalparks;forest;summer;travel;sky;northern;square;squareformat;iphoneography
3,3,3,41.268357576719524,-124.09764118518505,189,True,redw,11,redwoodnationalpark;landscape;redwood;us;redwoods;trees;pacific;water;national;fog;tree;sky;orick;ca;state;squareformat;iphoneography;instagramapp;sunset;square
4,4,4,41.285368263665475,-124.09193491961423,311,True,redw,8,landscape;nikon;fog;water;america;northerncalifornia;nps;flower;state;forest;northcoast;roadtrip;sunset;ca;redwoodsnationalpark;unesco;clouds;me;photostream;flora
5,5,5,41.79124151855204,-124.08350201990959,1105,True,redw,1,landscape;summer;northerncalifornia;america;water;sky;nationalparks;redwoodsnationalpark;sunset;flower;state;travel;ocean;fog;nikon;northern;hdr;worldheritagesite;square;squareformat
6,6,6,41.554370897637796,-124.08639914173216,127,True,redw,14,redwood;trees;nps;nikon;tree;summer;redwoodnationalandstateparks;water;america;nationalparks;redwoodsnationalpark;square;squareformat;iphoneography;instagramapp;pacific;northerncalifornia;hdr;worldheritagesite;nature
7,7,7,41.80690814583328,-124.08387586111135,144,True,redw,13,unitedstates;landscape;usa;nikon;ocean;summer;sky;state;clouds;redwoodhighway;sequoia;rocks;crescentcity;delnorte;redwoodtree;coastredwood;smithriver;stateparks;jedediahsmith;country
8,8,8,41.53447662999998,-124.0783715500001,100,True,redw,16,unitedstates;landscape;nationalpark;park;nps;nikon;summer;water;pacificocean;nationalparks;orick;trees;northcoast;sky;sunset;wood;bird;bw;redwoodcoast;flora
9,9,9,41.51054006666664,-124.07968653939396,165,True,redw,12,unitedstates;nationalpark;coast;beach;tree;water;america;pacific;sky;square;squareformat;iphoneography;instagramapp;sunset;flower;pacificcoast;road;trip;flora;grass
10,10,10,41.38411149218745,-124.07031160156271,256,True,redw,10,landscape;redwoodnationalpark;redwoods;us;nationalpark;park;vacation;nikon;forest;national;water;nature;pacificocean;pacific;northerncalifornia;fog;flower;family;northern;sky
11,11,11,41.402160503472274,-124.06314369907476,864,True,redw,2,landscape;usa;nationalpark;coast;america;summer;ocean;nps;vacation;nikon;fog;travel;pacific;flower;family;water;square;squareformat;iphoneography;instagramapp
12,12,12,41.266838,-124.06654499999979,98,True,redw,17,portfolio
13,13,13,41.32203441509428,-124.04291854716988,265,True,redw,9,landscape;nationalpark;coast;nikon;trees;vacation;forest;nps;travel;tree;pacific;family;roadtrip;sunset;state;northern;america;summer;northcoast;national
14,14,14,41.36119645353165,-124.02545580297456,538,True,redw,6,landscape;coast;park;nps;pacific;fog;beach;sky;nationalparks;redwoodsnationalpark;northcoast;flower;national;instagramapp;square;squareformat;america;redwoodnationalandstateparks;hdr;worldheritagesite
15,15,15,41.30529412849869,-124.01987005725205,786,True,redw,3,landscape;coast;nikon;pacific;summer;northerncalifornia;sky;nps;travel;redwoodnationalandstateparks;nationalparks;northcoast;state;square;squareformat;iphoneography;instagramapp;national;oregon;northern
16,16,16,41.38743521621622,-124.01793002702705,111,True,redw,15,park;travel;forest;square;squareformat;iphoneography;instagramapp;geotagged;trip;moss;photography;rainforest;highway;usnationalpark;elkgrovehistorical;lichen;sequoiasempervirens;fallcolor;trek;vereinigtestaaten
17,17,17,41.37385099096386,-124.01347510542095,664,True,redw,5,landscape;us;nationalpark;coast;fog;nps;ocean;water;vacation;northerncalifornia;family;sky;nationalparks;pacificocean;summer;redwoodnationalandstateparks;redwoodsnationalpark;worldheritagesite;bird;america
