,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,40.42101234987597,-105.81062690322605,403,True,romo,13,clouds;nature;landscape;nikon;rocky;national;forest;hiking;nationalparks;scenic;wildlife;alpine;morning;peak;iphone;america;rocks;trees;geotagged;usa
1,1,1,40.437987276957685,-105.75508921282676,3524,True,romo,2,nature;clouds;forest;nikon;co;lake;hiking;sunrise;morning;peak;iphone;trees;scenic;rocks;trail;america;wildlife;nationalparks;geotagged;fog
2,2,2,40.41257039705877,-105.73021135681108,1292,True,romo,6,rockies;clouds;nature;nikon;lake;forest;hiking;morning;sunrise;trees;peak;scenic;iphone;geotagged;america;wildlife;rocks;alpine;trail;boulder
3,3,3,40.39596404992081,-105.71136328526156,1262,True,romo,7,nikon;clouds;forest;hiking;lake;geotagged;peak;morning;sunrise;trail;iphone;trees;america;scenic;alpine;wildlife;rocks;nationalparks;scenery;fog
4,4,4,40.40073234682088,-105.66402583044254,1038,True,romo,9,nikon;clouds;forest;lake;snow;hiking;morning;geotagged;scenic;sunrise;alpine;trail;peak;iphone;america;rocks;nationalparks;trees;wildlife;wildflowers
5,5,5,40.309163815404304,-105.65054600535727,6907,True,romo,1,forest;clouds;rockies;rockymountain;nikon;alpine;america;peak;iphone;geotagged;morning;wildlife;scenic;nationalparks;rocks;sunrise;nps;animals;fog;boulder
6,6,6,40.40780915852979,-105.62894881568928,1823,True,romo,4,landscape;forest;snow;nikon;lake;clouds;hiking;peak;iphone;geotagged;sunrise;scenic;morning;nationalparks;trail;trees;nps;wildlife;fog;wildflowers
7,7,7,40.388064831200026,-105.63178280159994,1250,True,romo,8,nikon;clouds;forest;rockymountain;hiking;lake;scenic;alpine;iphone;america;morning;peak;rocks;wildlife;trail;sunrise;nationalparks;geotagged;animals;fog
8,8,8,40.35746502411129,-105.59657119350832,3235,True,romo,3,nature;nikon;rockymountains;snow;clouds;rockies;landscape;rockymountain;rocky;national;hiking;forest;lake;alpine;iphone;peak;morning;geotagged;america;nationalparks
9,9,9,40.25492875563246,-105.61579584402055,577,True,romo,11,snow;nature;clouds;landscape;nikon;co;rockies;rocky;national;park;lake;forest;nps;scenic;trees;morning;trail;geotagged;sunrise;canon
10,10,10,40.32057484961825,-105.6052477389323,1310,True,romo,5,hiking;nikon;co;clouds;rockymountain;rockies;forest;peak;alpine;scenic;iphone;rocks;morning;trail;geotagged;nationalparks;trees;nps;wildlife;fog
11,11,11,40.25991197478991,-105.6013172016808,357,True,romo,14,rocky;snow;park;nikon;forest;rockies;national;co;clouds;rockymountain;nature;wildlife;trail;america;nationalparks;nps;rocks;peak;alpine;usa
12,12,12,40.36657855531919,-105.56157789574446,470,True,romo,12,rmnp;national;rockies;mountain;mountains;nikon;hiking;nature;forest;lake;landscape;co;rockymountain;clouds;snow;alpine;morning;scenic;iphone;sunrise
13,13,13,40.307036468335966,-105.53875600736359,679,True,romo,10,clouds;mountain;snow;nature;rockies;rocky;co;landscape;rockymountain;national;nikon;forest;hiking;america;alpine;rocks;scenic;iphone;peak;nationalparks
