,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,32.26943324744886,-111.1918997946426,2352,True,sagu,1,southernarizona;americansouthwest;hikingtrail;desertsouthwest;sonorandesert;hiking;geotagged;bw;rock;canon;mountains;rincon;moon;night;south;tree;thorns;september;parc;stars
1,2,1,32.32294140277779,-111.13872420833329,72,True,sagu,3,sonorandesert;landscape;us;desert;mountain;rock;saguarocactus;canon;carnegieagigantea;clouds;color;monsoon;northamerica;outdoor;pimacounty;rural;scenery;storm;summer;thunderstorm
2,3,2,32.351191,-111.15834199999998,7,True,sagu,11,
3,4,3,32.34723453333333,-111.1484402666667,15,True,sagu,6,cactus;rock;puschridgewilderness;marklee;tablemountain;bighornmountain;puschridge;avravalleyairport;headlamp;pontatocridge;pontatoccliffs;headlights;face;lookslikeaface;lowdynamicrange
4,5,4,32.281494461538465,-111.12451584615386,13,True,sagu,9,
5,6,5,32.1941787858975,-110.71844434871788,1560,True,sagu,2,southernarizona;trail;hikingtrail;hiking;canon;bw;rock;rinconmountains;mountain;parc;stars;monument;tree;tanqueverde;storm;thorns;tucsonmountains;color;light;night
6,7,6,32.146219136363634,-110.64542779545454,44,True,sagu,4,thorns;overlook;sondy;rinconpeak;ocotillobloom;thorny;civano
7,8,7,32.19662633333333,-110.63479655555555,9,True,sagu,10,
8,9,8,32.19273973333333,-110.56846606666666,15,True,sagu,7,
9,10,9,32.205859631578946,-110.55455963157895,19,True,sagu,5,
10,11,10,32.232543571428565,-110.53278249999998,14,True,sagu,8,
