,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,36.48690454761893,-118.8368978306884,378,True,sequ,8,kings;canyon;green;mountain;camping;unitedstates;mountains;sierranevada;us;rocks;snow;water;sierranevadamountains;outdoors;blue;canon;grass;wilderness;sign;np
1,1,1,36.501709025641,-118.81235762179493,156,True,sequ,14,ca;kings;canyon;camping;snow;us;sign;outdoors;canon;grass;nps;redwood;bears;trees;scenic;unitedstatesofamerica;californie;northamerica;np;parks
2,2,2,36.61456387567553,-118.80441013513466,185,True,sequ,11,ca;beautiful;bw;film;val;valsfirstcampingtrip;seqouiakingscanyonnationalpark;mediumformat;keylargodiverflickrcom;toy;holga;plastic;awv
3,3,3,36.518696748427615,-118.80037837735858,159,True,sequ,13,green;nature;landscape;canyon;kings;mountain;usa;nationalpark;sierra;us;sign;rocks;rock;kingscanyon;water;river;redwood;np;nikon;rivers
4,4,4,36.537614274074066,-118.78211940370369,270,True,sequ,10,green;kings;nationalpark;camping;canyon;mountain;rocks;sign;snow;forest;mountains;grass;river;canon;wilderness;sequoianp;travel;kingscanyon;tree;scenic
5,5,5,36.56569098075279,-118.77091279213028,2338,True,sequ,3,ca;mountain;kings;canyon;green;landscape;snow;outdoors;sierra;camping;sign;rocks;us;rock;water;kingscanyon;blue;wilderness;scenic;mountains
6,6,6,36.52098918181819,-118.77124525219921,341,True,sequ,9,ca;mountains;sierra;rocks;sign;forest;outdoors;snow;us;tree;america;canon;sierranevada;nevada;squareformat;outside;light;tulare;square;iphoneography
7,7,7,36.54691894502478,-118.76540816217718,1819,True,sequ,4,ca;kings;canyon;green;mountain;snow;sign;rocks;camping;grass;kingscanyon;river;sierra;bears;trail;travel;outside;nevada;sierranevadamountains;wilderness
8,8,8,36.608891778613724,-118.75231614703306,1197,True,sequ,5,ca;canyon;kings;green;landscape;rock;sign;outdoors;scenic;grass;sierra;bears;blue;trail;sierranevadamountains;wilderness;sky;water;sierras;spring
9,9,9,36.58080839959633,-118.75107590783686,2973,True,sequ,2,ca;mountain;green;kings;canyon;landscape;camping;rocks;rock;snow;mountains;sign;sierra;scenic;grass;river;water;outdoors;kingscanyon;wilderness
10,10,10,36.556334154098366,-118.74646755737692,610,True,sequ,7,canyon;kings;mountain;green;landscape;sign;rock;us;snow;travel;camping;rocks;water;sky;scenic;blue;nevada;grass;sequoianp;sierranevadamountains
11,11,11,36.604747555555726,-118.72829920158718,630,True,sequ,6,canyon;kings;green;landscape;mountain;sierra;trail;travel;sign;rock;sky;scenic;kingscanyon;nevada;wilderness;hiking;rocks;outdoors;blue;sierras
12,12,12,36.61185902702705,-118.69573082432431,148,True,sequ,16,ca;green;mountain;landscape;canyon;kings;snow;sierra;trail;travel;trees;forest;canon;rocks;sierranevadamountains;america;wilderness;sky;grass;blue
13,13,13,36.587169000000095,-118.66283599999979,173,True,sequ,12,
14,14,14,36.69438632236845,-118.37351751973677,152,True,sequ,15,sequoia;green;mountain;rocks;snow;water;sequoianp;nevada;outdoors;sierranevadamountains;outdoor;outside;seki;californie;sierras;panorama;sierranevadas;geotagged;bw;kingscanyonnp
15,15,15,36.572728649236815,-118.2944771738278,3538,True,sequ,1,ca;sequoia;green;canyon;kings;park;nationalpark;national;nature;landscape;kingscanyon;sign;us;rock;snow;forest;grass;travel;blue;sky
