,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,38.4502841071429,-78.46562736224482,196,True,shen,12,usa;autumn;fall;forest;blueridge;shenandoahvalley;outdoors;foliage;clouds;tree;panorama;wildlife;trees;vista;spring;green;travel;winter;snp;appalachiantrail
1,1,1,38.52125933065036,-78.43190317894737,3230,True,shen,1,mountains;autumn;fall;us;scenic;leaves;forest;valley;foliage;blueridge;square;mountain;clouds;tree;trees;vista;ridge;panorama;trail;blue
2,2,2,38.555134779359456,-78.3958927508896,281,True,shen,9,us;blueridgemountains;forest;leaves;nature;scenic;shenandoahvalley;blueridge;clouds;square;wildlife;blue;sky;hdr;snp;vista;people;green;appalachiantrail;spring
3,3,3,38.559160848765465,-78.38474095679031,324,True,shen,7,nationalpark;autumn;us;forest;scenic;valley;blueridge;square;foliage;shenandoahvalley;outdoors;landscape;ridge;trail;trees;vista;nationalparks;clouds;panorama;hdr
4,4,4,38.59701058915751,-78.37327815332567,2361,True,shen,2,us;scenic;leaves;forest;blueridgemountains;blueridge;clouds;tree;valley;outdoors;panorama;hdr;ridge;trail;vista;square;landscape;foliage;nationalparks;nikon
5,5,5,38.55468065642993,-78.35672433589234,521,True,shen,6,va;nationalpark;mountains;usa;blueridgemountains;skylinedrive;leaves;trees;valley;square;outdoors;mountain;tree;landscape;ridge;nationalparks;october;people;squareformat;iphoneography
6,6,6,38.62568258724833,-78.34054078859045,298,True,shen,8,us;national;fall;scenic;forest;leaves;outdoors;trail;square;foliage;blueridge;valley;tree;nikon;trees;clouds;hdr;vista;panorama;blue
7,7,7,38.65290298867063,-78.31506074546823,1324,True,shen,3,us;forest;leaves;scenic;trail;foliage;valley;square;blueridge;tree;outdoors;shenandoahvalley;vista;trees;sunset;wildlife;hdr;nationalparks;nikon;sky
8,8,8,38.62269591891891,-78.32283362702711,185,True,shen,14,park;nationalpark;national;leaves;scenic;nature;trail;square;outdoors;blueridge;trees;valley;tree;nikon;vista;nationalparks;sky;hdr;wildlife;summer
9,9,9,38.552096166071564,-78.3105686589287,1120,True,shen,4,mountains;fall;us;autumn;park;national;leaves;scenic;forest;blueridge;valley;landscape;foliage;tree;clouds;ridge;outdoors;panorama;hdr;blue
10,10,10,38.74813476470587,-78.29397830882355,204,True,shen,11,nationalpark;us;scenic;blueridgemountains;trail;panorama;northernblueridge;hike;sign;south;southernunitedstates;protectedarea;northernblueridgesubprovince;blueridgeprovince;appalachiantrail;scenery;deer;dog;shadow;northernsection
11,11,11,38.7642885265957,-78.22738744680858,188,True,shen,13,hiking;us;forest;nature;leaves;foliage;mountain;clouds;trees;valley;shenandoahvalley;vista;landscape;tree;wildlife;nikon;ridge;panorama;blue;october
12,12,12,38.86714092325582,-78.20528439883701,860,True,shen,5,us;hiking;scenic;leaves;forest;nature;foliage;mountain;clouds;blueridge;tree;trail;outdoors;valley;wildlife;hdr;square;nikon;shenandoahvalley;appalachiantrail
13,13,13,38.8904160742857,-78.20285585142841,175,True,shen,16,us;nationalpark;hiking;leaves;nature;forest;trees;outdoors;clouds;trail;square;nikon;wildlife;panorama;hdr;ridge;october;people;snp;sky
14,14,14,38.83616261956525,-78.2037158152172,184,True,shen,15,us;national;hiking;leaves;scenic;shenandoahvalley;square;tree;foliage;mountain;valley;blue;ridge;outdoors;wildlife;vista;green;drive;summer;travel
15,15,15,38.9047224,-78.19561615609771,205,True,shen,10,mountains;autumn;hiking;us;blueridgemountains;nature;forest;scenic;leaves;clouds;foliage;trail;shenandoahvalley;tree;vista;panorama;sky;wildlife;ridge;south
