,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,46.99997662790698,-103.58449127906977,43,True,thro,17,
1,1,1,46.94836431182794,-103.53146332258068,93,True,thro,7,badlands;theodoreroosevelt;landscape;nd;trnp;sunset;vacation;wildlife;clouds;trees;rooseveltnationalpark;trip;sunny;belfield;portfolio;greatplains;september;nikon;blueskies;colorefexpro
2,2,2,46.93497897619047,-103.53106149999999,42,True,thro,18,us;dakota;nature;nd;vacation;wildlife;north;nationalparks;greatplains;roosevelt;clouds;billingscounty;national;grass;trail;theodore;nikon;peacegardenstate;animal;animals
3,3,3,46.91574990340912,-103.52585747727277,176,True,thro,3,nature;nd;vacation;nationalparks;wildlife;sunset;fall;autumn;nationalparkservice;trnp;sunny;trees;roosevelt;theodore;theodorerooseveltnp;trip;hiking;summer;golden;day
4,4,4,46.93222816091954,-103.5163320344828,87,True,thro,8,dakota;nd;vacation;nps;nationalparks;trnp;north;grassland;trip;nationalparkservice;park;roadtrip;blueskies;grassyarea;grassyfield;grassymeadow;rollinghillsides;theodorerooseveltnp;roosevelt;belfield
5,5,5,46.977367056338046,-103.4920668309859,71,True,thro,11,nd;nps;vacation;roadtrip;nationalparks;usa;trnp;trip;grass;prairie;summer;travel;america;south;teddyrooseveltnationalpark;prairiedog;grasslands;prairiedogs;teddyrooseveltpark;dogs
6,6,6,46.98910172925764,-103.48742050218344,229,True,thro,2,dakota;wildlife;nps;north;usa;nationalparkservice;park;trnp;bison;roosevelt;national;theodore;trees;fall;autumn;grassland;september;trip;sky;evening
7,7,7,46.931450829268314,-103.48541031707322,41,True,thro,20,theodoreroosevelt;vacation;nationalparks;north;trip;theodorerooseveltnp;grass;sky;belfield;overlook;canon;south;fauna;senic;dirt;norddakota;miles;city;natur;flora
8,8,8,46.9835092086331,-103.4802640935252,139,True,thro,4,landscape;southunit;nature;nd;wildlife;usa;roosevelt;rooseveltnationalpark;scenic;belfield;panorama;buttes;scenicloopdrive;animal;rural;road;unedited;ttt;teardroptrailertour;autostitch
9,9,9,46.9207976,-103.46487337777779,45,True,thro,15,landscape;nps;nd;vacation;trnp;rooseveltnationalpark;trail;wild;cloudy;bluesky;circularpolarizer;overcast;horses;geotagged;hike;insect;mountain;stormy;rain;telephoto
10,10,10,46.921972680851056,-103.45220002127657,47,True,thro,14,nd;nationalparks;trees;autumn;fall;bison;sunset;grassland;sunny;september;clouds;blueskies;colorefexpro;grassyarea;grassyfield;grassymeadow;northamericaplains;northernusgreatplains;outside;portfolio
11,11,11,47.603094339285704,-103.44198428571433,56,True,thro,12,us;dakota;vacation;nd;nationalparks;north;fall;autumn;sunset;grass;theodorerooseveltnp;grassland;september;roosevelt;sky;trail;grassyarea;grassyfield;grassymeadow;clouds
12,12,12,46.93347915909092,-103.41790847727272,44,True,thro,16,
13,13,13,46.96464968292682,-103.40590297560976,41,True,thro,19,
14,14,14,46.958596308641994,-103.40320870370373,81,True,thro,10,badlands;trnp;sunset;trees;grassland;sunny;september;blueskies;colorefexpro;grassyarea;grassyfield;grassymeadow;northamericaplains;northernusgreatplains;outside;portfolio;rollinghillsides;theodorerooseveltnationalparksouthunit;triptodakotas;triptodakotasandwyoming
15,15,15,46.92589915957444,-103.38896847872348,94,True,thro,6,dakota;nature;wildlife;north;trees;september;blueskies;grass;national;bison;fall;autumn;sunny;sky;colorefexpro;grassyarea;grassyfield;grassymeadow;northamericaplains;northernusgreatplains
16,16,16,46.93409181632654,-103.38901014285713,49,True,thro,13,
17,17,17,46.89548872445248,-103.38204472262771,548,True,thro,1,theodoreroosevelt;southunit;wildlife;trnp;fall;sunset;nps;autumn;nationalparkservice;september;grassland;greatplains;sunny;trees;portfolio;colorefexpro;grassyarea;grassyfield;grassymeadow;northamericaplains
18,18,18,47.609318079365075,-103.37776816666671,126,True,thro,5,us;medora;dakota;trnp;usa;wildlife;nd;vacation;sunset;north;trip;nationalparks;theodorerooseveltnp;grassland;grassyarea;grassyfield;grassymeadow;blueskies;rooseveltnationalpark;bison
19,19,19,47.59601182142861,-103.33146475000004,84,True,thro,9,us;nature;dakota;nd;sunset;nationalparks;trees;grassland;trip;usa;north;blueskies;colorefexpro;grassyarea;grassyfield;grassymeadow;northamericaplains;northernusgreatplains;outside;portfolio
