,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,18.338894038461536,-64.79374079230772,130,True,viis,13,virginislandsnationalpark;tropical;sea;water;clouds;blue;paradise;travel;bay;westindies;unitedstatesvirginislands;us;nikon;honeymoon;stjohnusvirginislands;trees;beaches;stthomas;tree;carribean
1,1,1,18.34055951851851,-64.7913701957671,189,True,viis,11,virginislandsnationalpark;island;stjohnusvi;sea;saintjohn;blue;nature;westindies;bay;nationalpark;travel;us;canon;eos;nikon;iphone;tropics;lesserantilles;cocotiers;west
2,2,2,18.343136955390236,-64.78622500743514,538,True,viis,4,virginislandsnationalpark;tropical;sea;ocean;vacation;virgin;island;nationalpark;paradise;nature;travel;islands;clouds;water;blue;saintjohn;unitedstatesvirginislands;westindies;tropics;us
3,3,3,18.346200267015696,-64.78044758638742,191,True,viis,10,virginislandsnationalpark;tropical;island;vacation;paradise;nature;saintjohn;nationalpark;bay;john;westindies;tropics;square;squareformat;iphoneography;instagramapp;st;nikon;stjohnusvirginislands;canon
4,4,4,18.351485290502808,-64.77747597765368,179,True,viis,12,virginislandsnationalpark;blue;john;ocean;nationalpark;square;squareformat;iphoneography;instagramapp;clouds;saintjohn;nikon;stjohnusvirginislands;saint;unitedstatesvirginislands;eos;stthomas;lesserantilles;cocotiers;west
5,5,5,18.34808581967211,-64.77699695081965,244,True,viis,9,virginislandsnationalpark;vacation;sea;clouds;nature;unitedstatesvirginislands;square;squareformat;iphoneography;instagramapp;beaches;landscape;stthomas;panorama;cruise;sand;caribbeansea;seascape;sky;geotagged
6,6,6,18.352732528634395,-64.76926204552153,1362,True,viis,1,tropical;sea;nature;water;paradise;stjohnusvi;travel;clouds;square;squareformat;iphoneography;instagramapp;nationalpark;westindies;blue;us;tropics;john;saint;eos
7,7,7,18.353721492187496,-64.76442539843754,128,True,viis,14,
8,8,8,18.354306118421032,-64.75504199780693,456,True,viis,5,tropical;sea;vacation;islands;virgin;island;blue;travel;paradise;nature;water;saintjohn;us;square;squareformat;iphoneography;instagramapp;clouds;john;tropics
9,9,9,18.359518172893058,-64.74482856211954,1151,True,viis,2,virginislandsnationalpark;tropical;stjohnusvi;virgin;sea;ocean;islands;nature;water;nationalpark;travel;paradise;saintjohn;square;squareformat;iphoneography;instagramapp;us;clouds;unitedstatesvirginislands
10,10,10,18.36312399594594,-64.73048138243229,740,True,viis,3,tropical;beach;sea;virgin;water;travel;stjohnusvi;ocean;paradise;nature;clouds;us;john;unitedstatesvirginislands;tropics;westindies;nationalpark;blue;saint;eos
11,11,11,18.32013570085473,-64.72662315954426,351,True,viis,6,sea;vacation;travel;nature;clouds;nationalpark;blue;square;squareformat;iphoneography;instagramapp;tropics;landscape;holiday;bird;boat;scenics;coral;nikon;turquoise
12,12,12,18.366847798319327,-64.72279746218483,119,True,viis,15,tropical;virginislandsnationalpark;usvirginislands;square;squareformat;iphoneography;instagramapp;saintjohn;unitedstatesvirginislands;coral;bird;rocks;caribbeansea;carribean;sailboat;ray;reflections;seaturtle;kelly;stingray
13,13,13,18.30840284713373,-64.70591380891757,314,True,viis,8,tropical;virgin;islands;us;john;nature;clouds;blue;paradise;square;squareformat;iphoneography;instagramapp;canon;eos;saint;iphone;stthomas;unitedstatesvirginislands;tropics
14,14,14,18.300027892063515,-64.70280633015864,315,True,viis,7,virginislandsnationalpark;sea;water;vacation;clouds;bay;blue;nature;unitedstatesvirginislands;travel;us;eos;saint;tropics;westindies;holiday;lesserantilles;cocotiers;west;indies
