,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,32.813174999999944,-106.34173300000047,342,True,whsa,6,
1,1,1,32.72950682089556,-106.34091211940294,67,True,whsa,15,whitesandsnationalmonument;clouds;landscape;dunes;desert;sky;monument;national;bw;dune;canon;light;winter;mountain;cover;mygearandmebronze;sierrablanca;dblringexcellence;mygearandmepremium;panarama
2,2,2,32.779185362637335,-106.33500647252752,91,True,whsa,11,clouds;dunes;desert;monument;park;tree;fisheye
3,3,3,32.78034699999995,-106.33460900000021,68,True,whsa,14,
4,4,4,32.78724156976745,-106.32559703488363,86,True,whsa,13,clouds;landscape;white;sanddunes;gypsum;southwest;nature;sunset;travel;footprint;us;nikon;shadow;john;ifttt;instagram;oma;adventure;earth;explore
5,5,5,32.821568516340044,-106.27395694607814,612,True,whsa,1,clouds;southwest;sky;sunset;nationalpark;nature;dune;america;park;nationalparkservice;monument;national;alamogordo;bw;blackandwhite;travel;roadtrip;tularosabasin;squareformat;iphoneography
6,6,6,32.821070575757574,-106.26621653787882,132,True,whsa,10,
7,7,7,32.81041195738633,-106.26388078409128,352,True,whsa,5,clouds;dunes;sunset;tularosa;america;southwest;national;sky;unitedstates;park;nm;yucca;sanddunes;monument;blackandwhite;bw;nature;nationalpark;mexico;new
8,8,8,32.81473412252964,-106.26162409881405,253,True,whsa,8,clouds;sanddunes;tularosa;alamogordo;national;sky;unitedstates;america;yucca;nationalpark;monument;southwest;nature;park;blackandwhite;sunset;outdoors;outdoor;snow;family
9,9,9,32.80589211764707,-106.2609789558825,136,True,whsa,9,clouds;sky;dune;sunset;nm;america;blackandwhite;nature;nationalpark;travel;tularosabasin;roadtrip;us;yucca;nps;chihuanhuandesert;dnysmphotography;dnysmsmugmugcom;canon;alamagordo
10,10,10,32.797889788590545,-106.24839293288605,298,True,whsa,7,clouds;landscape;dunes;sanddunes;nationalpark;park;sky;yucca;nature;alamogordo;snow;outdoor;outdoors;dune;nps;nationalparkservice;blue;footprint;alamagordo;yuccaelata
11,11,11,32.79479834986232,-106.23887380991751,363,True,whsa,4,clouds;southwest;sands;national;monument;nationalpark;sunset;new;mexico;park;blackandwhite;america;mountains;nature;alamogordo;outdoor;people;sun;footprint;trip
12,12,12,32.791709602739765,-106.21312431735146,438,True,whsa,3,southwest;nationalmonument;nationalpark;gypsum;tularosa;yucca;bw;blackandwhite;us;nm;park;america;nikon;dune;roadtrip;snow;yuccaelata;chihuahuandesert;footprint;photographer
13,13,13,32.741262,-106.20842799999993,88,True,whsa,12,sign;shadow;selfportrait;smile;macro;waves;atarmslength;tongue;lick;crash;thumbsup;landsccape;sunburst;running;sepia;decor;minimilism
14,14,14,32.779538187620986,-106.17247219729241,517,True,whsa,2,clouds;sanddunes;whitesandsnm;southwest;sky;nature;dune;new;mexico;gypsum;national;america;park;blackandwhite;bw;yucca;outdoors;outdoor;roadtrip;nikon
