,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,43.53533260784311,-103.49959823529413,51,True,wica,6,sd;trees;flickr;prairiedog;us;grass;tree;mammal;hill;clouds;utah;outdoor;black;america;grassland;plains;asteridae;plants;yellow;asteraleso
2,3,2,43.56747995999999,-103.49584039999996,25,True,wica,10,
3,4,3,43.527222842105246,-103.49521189473684,19,True,wica,13,
5,6,5,43.54635646031749,-103.48171522222223,63,True,wica,4,bison;nature;buffalo;vacation;prairie;travel;cave;animal;geotagged;road;summer;wind;national;deaftalent;deafoutsidetalent;deafoutdoortalent;landscapes;unitedstatesofamerica;geology;hills
6,7,6,43.623542821428565,-103.49101344642864,56,True,wica,5,blackhills;nature;sd;buffalo;trees;cave;flickr;geotagged;wind;animal;landscape;sky;grass;pine;clouds;hill;antelope;trip;dakota;snow
7,8,7,43.61257336842104,-103.49282384210521,19,True,wica,15,
8,9,8,43.57121921985817,-103.48447138297873,141,True,wica,2,sd;nationalparks;nps;animal;summer;grass;snow;canvas;triptodakotas;triptodakotasandwyoming;outdoor;sky;travel;geotagged;pronghorn;blueskies;bluesskieswithclouds;partlycloudy;sunny;mammal
10,11,10,43.595798559999984,-103.48946588000004,25,True,wica,9,
11,12,11,43.522537250000006,-103.48887414999996,20,True,wica,12,sd;unitedstates;flickr;hotsprings;tree;mammalsmammalia;sign;clovenhoofedbovidae;eventoedungulatesartiodactyla;schild;baum
12,13,12,43.58330649999999,-103.48605409999999,40,True,wica,7,park;usa;vacation;prairie;buffalo;nps;travel;hotsprings;flickr;geotagged;summer;grass;road;custerstatepark;tree;landscapes;blackwhite;snow;pine;rock
13,14,13,43.62450705882354,-103.48353382352941,68,True,wica,3,park;usa;nikon;us;grass;hotsprings;road;outdoor;blackwhite;tree;geology;vacation;snow;travel;hills;hill;custercounty;cloudy;canvas;overcast
14,15,14,43.52136273684211,-103.47854857894735,19,True,wica,14,
15,16,15,43.55643587673116,-103.4780647645421,722,True,wica,1,bison;buffalo;nature;animal;trees;flickr;prairiedog;nikon;canvas;blackwhite;mammalsmammalia;custer;outside;portfolio;landscapes;pronghorn;outdoors;deaftalent;deafoutsidetalent;deafoutdoortalent
16,17,16,43.58136425,-103.47415787500002,24,True,wica,11,
17,18,17,43.5564800625,-103.470605375,16,True,wica,16,
18,19,18,43.63963124242424,-103.46778575757575,33,True,wica,8,windcave;vacation;nps;nationalparks;geotagged;travel;canvas;northamerica;blueskies;bluesskieswithclouds;partlycloudy;antilocapraamericana;triptodakotas;triptodakotasandwyoming;blackwhite;lookingsouth;lookingnw;fall;evergreentrees;evergreens
21,22,21,43.62921690909092,-103.43874609090908,11,True,wica,19,
22,23,22,43.62247709090909,-103.42061309090906,11,True,wica,20,
23,24,23,43.601490999999996,-103.40588299999996,15,True,wica,17,
24,25,24,43.61301472727273,-103.40309899999998,11,True,wica,18,
