,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,62.07837149999998,-145.42884393209886,162,True,wrst,5,snow;travel;america;landscape;unitedstates;outdoor;us;geology;ice;northamerica;mountains;nationalpark;summer;reflection;water;volcanic;hdr;highdynamicrange;vereinigtestaaten;highway
1,1,1,61.4924877715738,-144.07190302030492,197,True,wrst,3,snow;geology;outdoor;america;lake;reflection;clouds;photography;scenic;volcanic;wrangellsainteliasnationalpark;tree;water;vacation;forest;hdr;highdynamicrange;national;vereinigtestaaten;wrangellsteliasnp
2,2,2,62.715789799999996,-144.16350765,20,True,wrst,10,wrangellsteliasnationalpark;us;alaskatrip;gakona
3,3,3,62.15987556250001,-143.834700375,32,True,wrst,8,
4,4,4,60.93429970625001,-143.2692690750001,160,True,wrst,6,snow;landscape;nature;mountains;river;travel;wrangellsteliasnp;mountain;northamerica;wilderness;summer;view;tree;marielaureeven;wild;worldtour;glaciers;public;domain;cloud
5,5,5,61.49635872594747,-142.91547751749334,1372,True,wrst,1,river;snow;america;outdoor;ice;lake;reflection;valley;stelias;marielaureeven;worldtour;scenery;forest;geology;vacation;northamerica;view;wrangellsteliasnp;tree;wilderness
6,6,6,60.56332857894736,-142.54472842105264,19,True,wrst,11,
7,7,7,61.12900199999997,-142.41566500000005,29,True,wrst,9,
8,8,8,61.85242739583331,-141.71100545833337,96,True,wrst,7,
9,9,9,60.124837689265526,-141.3990348474576,177,True,wrst,4,
10,10,10,59.99156034770112,-139.73654640804594,348,True,wrst,2,nature;landscape;travel;geology;outdoor;photography;scenery;view;vacation;geotagged;cold;blue;crevasses;perspective;upclose;dense;compact;polar;cirque;fracture
