,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,0,0,44.657279332797415,-111.09821819774929,622,True,yell,13,wildlife;wy;wyoming;us;nature;vacation;bison;nationalpark;outdoors;outdoor;bw;ynp;unitedstatesofamerica;america;travel;roadtrip;photography;clouds;hiking;animal
1,1,1,44.46538172682431,-110.83629570372942,12772,True,yell,1,wy;wildlife;bison;canyon;bw;canon;ynp;roadtrip;unitedstatesofamerica;montana;outdoor;america;outdoors;rock;animal;mountains;flickr;forest;hdr;northamerica
2,2,2,44.525448214072725,-110.83713711440754,5358,True,yell,4,wy;vacation;wildlife;bison;canyon;bw;outdoors;ynp;outdoor;canon;roadtrip;unitedstatesofamerica;america;montana;animal;hiking;flickr;mountains;hdr;nikon
3,3,3,44.552002978789126,-110.8076720555334,2593,True,yell,8,vacation;bison;wy;wildlife;canyon;ynp;outdoors;outdoor;bw;canon;roadtrip;national;america;unitedstatesofamerica;hiking;rock;mountains;forest;animal;clouds
4,4,4,44.536915073089695,-110.80103226578063,602,True,yell,14,wy;wildlife;bison;national;outdoors;unitedstatesofamerica;ynp;bw;outdoor;park;roadtrip;canon;america;flickr;rock;mountains;animal;forest;nikon;sky
5,5,5,44.65348839864869,-110.77166150506781,592,True,yell,15,vacation;wildlife;bison;america;geyser;outdoors;roadtrip;outdoor;canon;ynp;bw;canyon;unitedstatesofamerica;national;travel;park;montana;clouds;sky;hdr
6,6,6,44.693254517305654,-110.738487601497,1069,True,yell,11,wildlife;vacation;bison;canon;outdoor;canyon;outdoors;roadtrip;america;bw;national;park;ynp;travel;montana;rock;clouds;sky;nikon;hdr
7,7,7,44.97060115443798,-110.70537489776876,7796,True,yell,2,vacation;wy;wildlife;bison;canyon;bw;canon;ynp;roadtrip;america;national;outdoors;outdoor;montana;park;geyser;flickr;forest;rock;hdr
8,8,8,45.02031720651161,-110.70165671906969,1075,True,yell,10,landscape;nationalpark;bison;wy;vacation;canyon;geyser;outdoors;bw;canon;outdoor;america;ynp;roadtrip;national;travel;park;hiking;forest;rock
9,9,9,44.725831295969314,-110.7037987523464,3622,True,yell,5,wildlife;bison;us;canyon;canon;america;roadtrip;bw;ynp;montana;national;park;unitedstatesofamerica;flickr;animal;rock;mountains;hdr;clouds;forest
10,10,10,44.42794765868985,-110.58845784760601,794,True,yell,12,bison;wy;vacation;america;canon;roadtrip;ynp;outdoor;national;canyon;park;mountains;animal;yellowstonenp;blue;photo;road;spring;elk;hotsprings
11,11,11,44.417070792592746,-110.57166871888941,2700,True,yell,7,vacation;wy;wildlife;bison;bw;canyon;outdoors;canon;outdoor;montana;roadtrip;unitedstatesofamerica;national;america;rock;flickr;hiking;hdr;photography;mountains
12,12,12,44.574300136564034,-110.5188972929518,454,True,yell,17,wy;landscape;bw;geyser;canyon;elk;fog;oldfaithful;blackwhite;photostream;yellowstoneriver;grand;grandprismaticspring;norrisgeyserbasin;rivers;castlegeyser;yellowstonelake;geese;lac;yellowstonefalls
13,13,13,44.719161608453376,-110.48863998705154,5560,True,yell,3,vacation;wy;wildlife;bison;geyser;bw;canon;roadtrip;america;ynp;unitedstatesofamerica;national;montana;outdoors;outdoor;flickr;animal;clouds;northamerica;mountains
14,14,14,44.63352610018913,-110.44284923377441,3174,True,yell,6,vacation;outdoors;bw;canon;outdoor;canyon;roadtrip;geyser;ynp;montana;national;travel;america;rock;hdr;flickr;forest;mountains;hiking;clouds
15,15,15,44.90376449469496,-110.39748606432356,1508,True,yell,9,wy;bison;bw;canon;outdoors;geyser;ynp;unitedstatesofamerica;canyon;national;america;roadtrip;outdoor;park;rock;sky;flickr;northamerica;forest;hdr
16,16,16,44.551259278017206,-110.39842889008648,464,True,yell,16,nature;bison;wildlife;vacation;canyon;unitedstatesofamerica;bw;outdoor;america;roadtrip;geyser;montana;canon;national;animal;hiking;nikon;flickr;rock;sky
