,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,37.75296053272003,-119.5698782005998,63739,True,yose,1,yosemitewilderness;lake;sierranevada;highsierra;creek;backpacking;lichen;reflection;people;hike;hetchhetchy;ericaceae;liliaceae;manzanita;boraginaceae;monkeyflower;pinus;scrophulariaceae;burn;penstemon
1,2,1,38.064056257225396,-119.86056176589571,346,True,yose,4,lake;clouds;reflection;sierra;lichen;view;pinus;penstemon;sky;burn;squirrel;meadow;moss;tree;boraginaceae;liliaceae;manzanita;wood;fern;scrophulariaceae
2,3,2,37.902855125,-119.83222256250006,48,True,yose,13,
3,4,3,38.089967845528385,-119.83722933333306,123,True,yose,9,lichen;water;fern;liliaceae;sign;rock;view;cornaceae;cornus;dogwood;cupressaceae;onagraceae;orobanchaceae;linanthus;pond;monkeyflower;spring;cone;burn;manzanita
4,5,4,37.95317530343669,-119.77839811483652,1193,True,yose,3,yosemitewilderness;backpacking;lake;sierranevada;reflection;hiking;wilderness;lichen;clouds;mountains;travel;hike;snow;meadow;flower;orange;outdoors;view;summer;america
5,6,5,38.015606010256384,-119.72285663589749,195,True,yose,6,
6,7,6,37.52504515244139,-119.6232690238189,2519,True,yose,2,sierranevada;reflection;hiking;creek;clouds;hike;lichen;wilderness;outdoors;water;rock;waterfall;people;landscape;sierra;trail;sunset;liliaceae;moss;sky
7,8,7,38.17825694736844,-119.58797184210528,38,True,yose,14,
8,9,8,37.6134640769231,-119.53201197802194,182,True,yose,7,
9,10,9,38.02977069791665,-119.51347797916658,96,True,yose,10,northernyosemite;hooverwilderness;laxrno;rodgerscanyon;glacia;kerrickmeadows
10,11,10,38.122620622641506,-119.47931756603776,53,True,yose,11,
11,12,11,37.63772876377953,-119.42005733858272,127,True,yose,8,reflection;water;clouds;creek;trail;waterfall;orange;cone;squirrel;ca;unitedstates;pinecone;sunrise;yosemitevalley;halfdome;trailsign;lower;alpenglow;peaks;cascada
12,13,12,38.090622243478286,-119.39164717391323,230,True,yose,5,yosemitewilderness;sign;fingerpeaks;sierracrest;birds;landscpe
13,14,13,37.55783816,-119.40427477999994,50,True,yose,12,
