,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank,top_tags
0,1,0,37.443903743048786,-113.19208766778551,2086,True,zion,3,springdale;southwest;virgin;unitedstatesofamerica;nikon;kolobterrace;photography;waterfall;photomatix;america;zioncanyon;water;sandstone;backpacking;red;sunrise;travelphotography;colorefexpro;scenicsnotjustlandscapes;wildlife
1,2,1,37.34189219791667,-113.10658463541678,96,True,zion,5,canyon;southwest;nationalparks;kolob;photomatix;outdoor;travel;unitedstatesofamerica;sandstone;backpacking;wilderness;snow;subway;southernutah;thesubway;landscapephotography;landscapes;outdoors;travelphotography;scenic
2,3,2,37.30879995648068,-113.04004035264171,3332,True,zion,2,unitedstatesofamerica;virgin;photomatix;nikon;photography;wilderness;kolobterrace;geotagged;hdr;panorama;kolob;ut;scenicsnotjustlandscapes;coloradoplateau;goldenhour;lumix;places;colors;pano;kolobcanyon
3,4,3,37.31343475,-113.0897411875,16,True,zion,10,
4,5,4,37.17274495238095,-113.08536533333336,21,True,zion,9,
5,6,5,37.28979448000005,-113.04894162857107,175,True,zion,4,nationalpark;nature;landscape;nikon;rocks;waterfall;america;wideangle;redrock;stream;water;colorphotoaward;cool;virginriver;summit;flickrexportdemo;jakejakubik;homade
6,7,6,37.238937999999976,-113.04704099999996,26,True,zion,7,
7,8,7,37.382306999999976,-113.02691679569895,93,True,zion,6,canyon;southwest;landscape;unitedstatesofamerica;virgin;wilderness;trail;zioncanyon;kolobterrace;rocks;outdoor;mountains;sign;wildlife;goldenhour;cliff;zionnp;lumix;places;backpacking
8,9,8,37.24898323674567,-112.94970988868755,51198,True,zion,1,southwest;kolobterrace;kolob;virgin;photomatix;wilderness;backpacking;unitedstatesofamerica;panorama;outdoor;red;waterfall;photography;nikon;cascades;subway;thesubway;hdr;goldenhour;scenicsnotjustlandscapes
9,10,9,37.36983375000001,-112.91186166666664,24,True,zion,8,
